"theYear","country","code","name","mean","median"
"2015 - 2019","belgium","belrl01","pm25",13.8230465103981,9.5
"2015 - 2019","belgium","betb004","no2",32.3387780006227,28
"2015 - 2019","belgium","betb004","o3",35.3675613289103,32.25
"2015 - 2019","belgium","betb006","no2",30.7546647222901,25.75
"2015 - 2019","belgium","betb006","o3",44.8797805495463,42.5
"2015 - 2019","belgium","betb008","no2",46.6251929789005,47.5
"2015 - 2019","belgium","betr001","no2",34.4027559181544,31.5
"2015 - 2019","belgium","betr001","o3",37.7830364975894,34.75
"2015 - 2019","belgium","betr001","pm25",13.8847636962784,10.1125
"2015 - 2019","belgium","betr002","no2",43.4873298204526,42
"2015 - 2019","belgium","betr221","no2",25.1222393296668,21
"2015 - 2019","belgium","betr221","o3",42.5930868752173,38.75
"2015 - 2019","belgium","betr221","pm25",10.4226073275634,6.52099999
"2015 - 2019","belgium","betr501","no2",28.7268202499523,25.125
"2015 - 2019","belgium","betr501","pm25",12.1187215318033,7.729749995
"2015 - 2019","belgium","betr701","no2",26.6708092070406,23
"2015 - 2019","belgium","betr701","o3",42.4837042039909,42.5
"2015 - 2019","belgium","betr701","pm25",14.4255898746376,10.5
"2015 - 2019","belgium","betr702","no2",35.4808387566431,32.375
"2015 - 2019","belgium","betr702","pm25",13.9680051882959,10
"2015 - 2019","belgium","betr801","no2",35.7975314336997,32.375
"2015 - 2019","belgium","betr801","o3",32.4418472726751,30.25
"2015 - 2019","belgium","betr801","pm25",14.3061983799759,10.5
"2015 - 2019","belgium","betr802","no2",41.740191834302,39
"2015 - 2019","belgium","betr802","pm25",14.6527122788523,10.5
"2015 - 2019","france","fr01011","no2",20.1950974799062,15.835
"2015 - 2019","france","fr01011","o3",45.4142862844271,46.6
"2015 - 2019","france","fr01011","pm25",12.1388365609464,10.2999999975
"2015 - 2019","france","fr01012","no2",18.2876746335437,13.55
"2015 - 2019","france","fr01014","no2",15.9767922683765,12.5
"2015 - 2019","france","fr01019","no2",17.3999259240301,13.365
"2015 - 2019","france","fr01020","no2",24.124603060419,21.05
"2015 - 2019","france","fr01020","o3",43.4571478886757,44.215
"2015 - 2019","france","fr01020","pm25",11.8272073848266,9.45
"2015 - 2019","france","fr01064","no2",30.4523504114429,26.29999999
"2015 - 2019","france","fr01065","no2",22.6488921418268,19.215
"2015 - 2019","france","fr01065","pm25",13.1523305322637,10.25
"2015 - 2019","france","fr02012","no2",15.5491425839183,12.25
"2015 - 2019","france","fr02012","o3",65.0406665118495,70.0999999925
"2015 - 2019","france","fr02022","no2",20.0679584121986,16.275
"2015 - 2019","france","fr02022","o3",55.5060917840359,61.499999995
"2015 - 2019","france","fr02041","no2",16.5668323603525,10.95
"2015 - 2019","france","fr02041","o3",61.553015844737,67.899999995
"2015 - 2019","france","fr03006","no2",48.627246134571,45
"2015 - 2019","france","fr03006","pm25",15.6122039011385,13.599999995
"2015 - 2019","france","fr03014","no2",36.5308209657128,29.7
"2015 - 2019","france","fr03021","no2",42.5897570737375,39.125
"2015 - 2019","france","fr03029","no2",25.0330336979365,18.9
"2015 - 2019","france","fr03029","o3",50.0779972725429,44.625
"2015 - 2019","france","fr03029","pm25",12.1799179094281,10.175
"2015 - 2019","france","fr03032","no2",18.9716970977923,13
"2015 - 2019","france","fr03032","o3",59.3593886832213,64.774999995
"2015 - 2019","france","fr03043","no2",27.70755850067,22.4
"2015 - 2019","france","fr03043","o3",56.6657833376571,64.3125
"2015 - 2019","france","fr03043","pm25",12.3112871656282,10.5625
"2015 - 2019","france","fr03060","no2",19.9145339434447,13.5875
"2015 - 2019","france","fr03060","o3",51.8748527835388,56.1875
"2015 - 2019","france","fr03068","no2",40.5130461852907,35.125
"2015 - 2019","france","fr03069","o3",70.6566898835798,76.1374999975
"2015 - 2019","france","fr03080","no2",17.8353434392726,12.4
"2015 - 2019","france","fr03080","o3",59.7637487705292,65.375
"2015 - 2019","france","fr03080","pm25",11.7098851676233,9
"2015 - 2019","france","fr03087","no2",28.2805957646012,24.4
"2015 - 2019","france","fr04002","no2",31.104025105356,24.025
