date,no2
1-1-2019 00:00:00,4.39764
1-1-2019 01:00:00,7.23107
1-1-2019 02:00:00,4.30648
1-1-2019 03:00:00,2.91102
1-1-2019 04:00:00,2.68446
1-1-2019 05:00:00,3.57544
1-1-2019 06:00:00,6.75834
1-1-2019 07:00:00,5.92441
1-1-2019 08:00:00,6.14458
1-1-2019 09:00:00,4.63505
1-1-2019 10:00:00,5.86968
1-1-2019 11:00:00,7.15407
1-1-2019 12:00:00,10.7853
1-1-2019 13:00:00,12.74139
1-1-2019 14:00:00,15.5959
1-1-2019 15:00:00,26.88391
1-1-2019 16:00:00,18.43569
1-1-2019 17:00:00,20.3358
1-1-2019 18:00:00,18.77721
1-1-2019 19:00:00,12.57506
1-1-2019 20:00:00,9.55724
1-1-2019 21:00:00,11.22653
1-1-2019 22:00:00,7.99759
1-1-2019 23:00:00,5.76713
1-2-2019 00:00:00,9.24573
1-2-2019 01:00:00,13.71553
1-2-2019 02:00:00,7.61129
1-2-2019 03:00:00,7.43642
1-2-2019 04:00:00,7.44919
1-2-2019 05:00:00,10.2466
1-2-2019 06:00:00,16.13833
1-2-2019 07:00:00,17.42003
1-2-2019 08:00:00,30.02828
1-2-2019 09:00:00,40.64331
1-2-2019 10:00:00,38.66917
1-2-2019 11:00:00,41.01861
1-2-2019 12:00:00,37.79784
1-2-2019 13:00:00,45.98619
1-2-2019 14:00:00,77.02958
1-2-2019 15:00:00,72.06275
1-2-2019 16:00:00,87.04675
1-2-2019 17:00:00,65.69694
1-2-2019 18:00:00,50.89981
1-2-2019 19:00:00,34.0086
1-2-2019 20:00:00,29.5132
1-2-2019 21:00:00,22.2917
1-2-2019 22:00:00,14.92146
1-2-2019 23:00:00,11.65722
1-3-2019 00:00:00,8.2167
1-3-2019 01:00:00,5.90637
1-3-2019 02:00:00,4.65747
1-3-2019 03:00:00,4.20902
1-3-2019 04:00:00,10.25444
1-3-2019 05:00:00,20.05208
1-3-2019 06:00:00,44.98004
1-3-2019 07:00:00,59.76262
1-3-2019 08:00:00,61.92477
1-3-2019 09:00:00,90.99742
1-3-2019 10:00:00,57.84225
1-3-2019 11:00:00,54.29786
1-3-2019 12:00:00,68.40132
1-3-2019 13:00:00,65.56033
1-3-2019 14:00:00,78.66295
1-3-2019 15:00:00,95.29465
1-3-2019 16:00:00,73.39004
1-3-2019 17:00:00,62.72639
1-3-2019 18:00:00,68.44573
1-3-2019 19:00:00,40.48757
1-3-2019 20:00:00,37.27176
1-3-2019 21:00:00,21.041
1-3-2019 22:00:00,16.50707
1-3-2019 23:00:00,12.08157
1-4-2019 00:00:00,12.80421
1-4-2019 01:00:00,5.98729
1-4-2019 02:00:00,6.63492
1-4-2019 03:00:00,7.10099
1-4-2019 04:00:00,9.62335
1-4-2019 05:00:00,21.18631
1-4-2019 06:00:00,36.36078
1-4-2019 07:00:00,44.0173
1-4-2019 08:00:00,40.49983
1-4-2019 09:00:00,51.70578
1-4-2019 10:00:00,49.36181
1-4-2019 11:00:00,35.98052
1-4-2019 12:00:00,64.23435
1-4-2019 13:00:00,78.18758
1-4-2019 14:00:00,88.48605
1-4-2019 15:00:00,74.77579
1-4-2019 16:00:00,75.70237
1-4-2019 17:00:00,66.26001
1-4-2019 18:00:00,51.02367
1-4-2019 19:00:00,43.16755
1-4-2019 20:00:00,30.55169
1-4-2019 21:00:00,25.08782
1-4-2019 22:00:00,15.42255
1-4-2019 23:00:00,18.08783
1-5-2019 00:00:00,11.4502
1-5-2019 01:00:00,8.45872
1-5-2019 02:00:00,7.57455
1-5-2019 03:00:00,7.85622
1-5-2019 04:00:00,7.63404
1-5-2019 05:00:00,13.99807
1-5-2019 06:00:00,21.22452
1-5-2019 07:00:00,35.96117
1-5-2019 08:00:00,40.45685
1-5-2019 09:00:00,44.75417
1-5-2019 10:00:00,41.11074
1-5-2019 11:00:00,36.86221
1-5-2019 12:00:00,39.34981
1-5-2019 13:00:00,42.65287
1-5-2019 14:00:00,52.84664
1-5-2019 15:00:00,54.10134
1-5-2019 16:00:00,60.3271
1-5-2019 17:00:00,53.90639
1-5-2019 18:00:00,42.52587
1-5-2019 19:00:00,35.56203
1-5-2019 20:00:00,36.7586
1-5-2019 21:00:00,30.49905
1-5-2019 22:00:00,21.08712
1-5-2019 23:00:00,14.09274
1-6-2019 00:00:00,12.2838
1-6-2019 01:00:00,10.47419
1-6-2019 02:00:00,8.64285
1-6-2019 03:00:00,6.1722
1-6-2019 04:00:00,6.34698
1-6-2019 05:00:00,9.49969
1-6-2019 06:00:00,17.48749
1-6-2019 07:00:00,13.61634
1-6-2019 08:00:00,29.71662
1-6-2019 09:00:00,31.31427
1-6-2019 10:00:00,44.98633
1-6-2019 11:00:00,50.60402
1-6-2019 12:00:00,52.57495
1-6-2019 13:00:00,54.67652
1-6-2019 14:00:00,80.26791
1-6-2019 15:00:00,96.88129
1-6-2019 16:00:00,107.04117
1-6-2019 17:00:00,93.91778
1-6-2019 18:00:00,59.5559
1-6-2019 19:00:00,65.63731
1-6-2019 20:00:00,54.20046
1-6-2019 21:00:00,43.43795
1-6-2019 22:00:00,21.38268
1-6-2019 23:00:00,9.93647
1-7-2019 00:00:00,2.4706
1-7-2019 01:00:00,3.81149
1-7-2019 02:00:00,7.51416
1-7-2019 03:00:00,8.58513
1-7-2019 04:00:00,8.96742
1-7-2019 05:00:00,9.62442
1-7-2019 06:00:00,29.65397
1-7-2019 07:00:00,28.65585
1-7-2019 08:00:00,32.06743
1-7-2019 09:00:00,50.52203
1-7-2019 10:00:00,56.97302
1-7-2019 11:00:00,52.22936
1-7-2019 12:00:00,41.72376
1-7-2019 13:00:00,30.04378
1-7-2019 14:00:00,20.58463
1-7-2019 15:00:00,25.16887
1-7-2019 16:00:00,27.27393
1-7-2019 17:00:00,14.84993
1-7-2019 18:00:00,8.6681
1-7-2019 19:00:00,10.33422
1-7-2019 20:00:00,5.39725
1-7-2019 21:00:00,5.78684
1-7-2019 22:00:00,5.50348
1-7-2019 23:00:00,4.88137
