"date","no2"
2018-01-01 00:00:00,79.0596
2018-01-01 01:00:00,97.05587
2018-01-01 02:00:00,101.07355
2018-01-01 03:00:00,81.56557
2018-01-01 04:00:00,59.85638
2018-01-01 05:00:00,51.55781
2018-01-01 06:00:00,79.5382
2018-01-01 07:00:00,72.98608
2018-01-01 08:00:00,86.85994
2018-01-01 09:00:00,103.41757
2018-01-01 10:00:00,101.68146
2018-01-01 11:00:00,108.91574
2018-01-01 12:00:00,106.81776
2018-01-01 13:00:00,71.72479
2018-01-01 14:00:00,72.47106
2018-01-01 15:00:00,68.71229
2018-01-01 16:00:00,83.29113
2018-01-01 17:00:00,111.78907
2018-01-01 18:00:00,124.87655
2018-01-01 19:00:00,65.41812
2018-01-01 20:00:00,58.44677
2018-01-01 21:00:00,39.90305
2018-01-01 22:00:00,48.42425
2018-01-01 23:00:00,46.54711
2018-01-02 00:00:00,59.18682
2018-01-02 01:00:00,53.91447
2018-01-02 02:00:00,50.38353
2018-01-02 03:00:00,41.70828
2018-01-02 04:00:00,53.35224
2018-01-02 05:00:00,71.20543
2018-01-02 06:00:00,94.98684
2018-01-02 07:00:00,94.95861
2018-01-02 08:00:00,111.53176
2018-01-02 09:00:00,110.77708
2018-01-02 10:00:00,124.34469
2018-01-02 11:00:00,116.2387
2018-01-02 12:00:00,115.88469
2018-01-02 13:00:00,103.99635
2018-01-02 14:00:00,100.6206
2018-01-02 15:00:00,108.15159
2018-01-02 16:00:00,120.25116
2018-01-02 17:00:00,114.14649
2018-01-02 18:00:00,119.71571
2018-01-02 19:00:00,79.64722
2018-01-02 20:00:00,74.88279
2018-01-02 21:00:00,46.32946
2018-01-02 22:00:00,42.3826
2018-01-02 23:00:00,38.04465
2018-01-03 00:00:00,56.23737
2018-01-03 01:00:00,34.64378
2018-01-03 02:00:00,24.37776
2018-01-03 03:00:00,23.83044
2018-01-03 04:00:00,25.85518
2018-01-03 05:00:00,37.23673
2018-01-03 06:00:00,51.85457
