"","date","no","no2","o3"
"1",2018-01-01 00:00:00,"0.13935",8.11153,70.9804
"2",2018-01-01 01:00:00,"0.23224",8.54325,67.52118
"3",2018-01-01 02:00:00,"0.27869",8.99235,69.69982
"4",2018-01-01 03:00:00,"0.27869",8.93852,70.4981
"5",2018-01-01 04:00:00,"0.17418",6.9457,71.74542
"6",2018-01-01 05:00:00,"0.24386",7.26948,70.4981
"7",2018-01-01 06:00:00,"0.10451",10.013,67.15531
"8",2018-01-01 07:00:00,"0.34836",12.43808,65.30928
"9",2018-01-01 08:00:00,"0.52255",21.91363,53.38498
"10",2018-01-01 09:00:00,"missing",33.3886,43.50626
"11",2018-01-01 10:00:00,"1.77665",35.06217,43.40648
"12",2018-01-01 11:00:00,"missing",34.7955,42.25895
"13",2018-01-01 12:00:00,"1.42829",27.62997,47.8968
"14",2018-01-01 13:00:00,"1.95083",25.05246,55.63014
"15",2018-01-01 14:00:00,"missing",20.84863,57.57595
"16",2018-01-01 15:00:00,"1.84633",21.44484,51.83831
"17",2018-01-01 16:00:00,"0.45287",22.34342,51.73852
"18",2018-01-01 17:00:00,"missing",34.83656,38.16776
"19",2018-01-01 18:00:00,"missing",34.08011,43.95529
"20",2018-01-01 19:00:00,"0.41804",12.06212,63.91229
"21",2018-01-01 20:00:00,"0.31353",9.15424,68.75187
"22",2018-01-01 21:00:00,"0.20902",6.99994,70.09896
"23",2018-01-01 22:00:00,"0.27869",10.4995,65.70842
"24",2018-01-01 23:00:00,"0.24386",8.02306,67.45466
"25",2018-01-02 00:00:00,"0.32564",15.01074,59.73795
"26",2018-01-02 01:00:00,"0.13956",11.41855,59.47186
"27",2018-01-02 02:00:00,"0.24423",13.84307,52.43702
"28",2018-01-02 03:00:00,"0.20934",15.83532,50.29164
"29",2018-01-02 04:00:00,"0.31401",21.06027,43.85551
"30",2018-01-02 05:00:00,"0.31401",19.17536,43.15701
"31",2018-01-02 06:00:00,"1.67474",36.20725,24.19786
"32",2018-01-02 07:00:00,"8.65284",47.15711,19.15872
"33",2018-01-02 08:00:00,"13.11882",63.35904,5.73764
"34",2018-01-02 09:00:00,"missing",67.19229,7.93291
"35",2018-01-02 10:00:00,"11.82787",61.24553,9.57936
"36",2018-01-02 11:00:00,"missing",60.27722,16.96345
"37",2018-01-02 12:00:00,"5.89649",44.43623,31.98109
"38",2018-01-02 13:00:00,"2.05854",27.21749,48.34583
"39",2018-01-02 14:00:00,"1.39562",23.76403,52.18756
"40",2018-01-02 15:00:00,"1.22117",30.49405,41.11142
"41",2018-01-02 16:00:00,"45.98563",129.45096,35.22411
"42",2018-01-02 17:00:00,"1.18628",31.84005,45.50196
"43",2018-01-02 18:00:00,"1.32584",34.96503,38.96604
"44",2018-01-02 19:00:00,"1.08161",24.83791,51.83831
"45",2018-01-02 20:00:00,"0.69781",14.70937,63.61294
"46",2018-01-02 21:00:00,"0.41869",11.58297,64.5609
"47",2018-01-02 22:00:00,"0.3838",9.85927,62.06627
"48",2018-01-02 23:00:00,"0.31401",8.13522,66.00778
"49",2018-01-03 00:00:00,"0.23296",7.11444,75.23789
"50",2018-01-03 01:00:00,"0.13978",4.81467,76.30226
"51",2018-01-03 02:00:00,"0.17472",3.6116,82.92134
"52",2018-01-03 03:00:00,"missing",7.65547,82.32263
"53",2018-01-03 04:00:00,"0.20967",5.28225,84.26843
"54",2018-01-03 05:00:00,"0.20967",6.52154,81.57424
"55",2018-01-03 06:00:00,"0.27956",7.43813,78.13166
"56",2018-01-03 07:00:00,"0.83867",14.5015,71.14671
"57",2018-01-03 08:00:00,"0.59406",14.66104,69.10111
"58",2018-01-03 09:00:00,"0.94351",15.52617,66.52333
"59",2018-01-03 10:00:00,"1.29295",15.47529,66.15746
"60",2018-01-03 11:00:00,"1.04834",11.43203,69.45036
"61",2018-01-03 12:00:00,"missing",10.67949,69.69982
"62",2018-01-03 13:00:00,"1.53756",8.63438,71.54585
