"","date","no","no2","o3"
1,1514764800,1.62964,3.36825,67.40477
2,1514768400,NA,NA,64.36133
3,1514772000,0.991,3.99344,66.75617
4,1514775600,1.22223,2.77907,68.25294
5,1514779200,1.15616,1.16074,69.89939
6,1514782800,1.02403,1.46449,69.60004
7,1514786400,1.65166,3.03102,65.65853
8,1514790000,1.22223,4.04351,64.66068
9,1514793600,1.71773,4.64935,62.11616
10,1514797200,1.91593,8.99858,52.5368
11,1514800800,2.31232,12.33582,46.44992
12,1514804400,1.58559,15.22034,40.16346
13,1514808000,2.70872,17.89847,42.5583
14,1514811600,2.11412,18.35498,39.914
15,1514815200,1.71773,17.49603,45.15271
16,1514818800,0.92493,13.401,51.83831
17,1514822400,1.35436,16.33355,44.85336
18,1514826000,2.11412,21.49078,39.2654
19,1514829600,2.34536,20.93392,37.9183
20,1514833200,1.15616,11.93374,51.08992
21,1514836800,1.0901,11.0235,54.5325
22,1514840400,1.42043,6.26848,61.81681
23,1514844000,1.22223,6.01603,61.36778
24,1514847600,0.8919,5.30867,59.62154
25,1514851200,1.49712,5.38454,57.07702
26,1514854800,NA,NA,57.72562
27,1514858400,1.12284,4.18998,52.68648
28,1514862000,0.95772,3.9379,49.14411
29,1514865600,1.15587,5.40252,43.95529
30,1514869200,1.68426,15.50613,34.07658
31,1514872800,2.4108,19.54585,34.52561
32,1514876400,6.1426,32.11458,24.39743
33,1514880000,9.41204,32.05314,23.00044
34,1514883600,5.05278,24.13497,32.28045
35,1514887200,3.69877,17.571,41.2611
36,1514890800,2.97222,15.14814,44.15486
37,1514894400,2.84013,9.7422,51.2396
38,1514898000,2.17963,5.95489,57.67573
39,1514901600,2.57593,7.46938,57.32648
40,1514905200,3.3355,16.46062,45.05293
41,1514908800,3.83087,19.28848,41.56045
42,1514912400,3.17037,18.12856,42.05938
43,1514916000,2.675,15.75545,42.85766
44,1514919600,2.44383,7.67192,53.38498
45,1514923200,1.65124,3.37979,63.66283
46,1514926800,1.55216,2.218,61.81681
47,1514930400,1.42006,2.26897,58.87315
48,1514934000,1.71729,1.91429,58.07487
49,1514937600,1.10054,3.96587,65.80821
50,1514941200,NA,NA,67.65423
51,1514944800,1.4197,2.36603,70.44821
52,1514948400,1.18859,2.21563,76.18585
53,1514952000,1.12255,2.56926,75.03832
54,1514955600,1.48573,3.98097,73.94069
55,1514959200,1.35367,6.75776,70.84735
56,1514962800,1.84891,11.75269,63.96219
57,1514966400,2.21209,13.87106,60.66928
58,1514970000,1.68383,11.75343,61.36778
59,1514973600,2.27812,10.69076,60.76907
60,1514977200,NA,NA,NA
61,1514980800,NA,NA,NA
62,1514984400,1.0235,5.95161,55.92949
63,1514988000,0.42921,7.67047,56.42842
64,1514991600,2.04701,13.26609,52.93594
65,1514995200,2.27812,17.65649,49.29379
66,1514998800,2.74035,16.74585,49.64304
67,1515002400,1.98097,12.71115,54.5325
68,1515006000,1.71684,10.4409,56.62799
69,1515009600,2.27812,10.08505,55.72992
70,1515013200,1.78288,7.21012,56.87745
71,1515016800,1.81589,6.25092,57.77552
72,1515020400,7.42865,10.16293,53.28519
73,1515024000,0.92422,6.04589,58.12476
74,1515027600,NA,NA,66.75617
75,1515031200,0.92422,1.70928,68.5024
76,1515034800,0.66016,1.55949,67.60434
77,1515038400,0.62715,1.66052,63.26369
78,1515042000,0.92422,9.52526,50.29164
79,1515045600,5.24823,32.04122,24.34754
80,1515049200,8.48299,41.15008,15.81592
81,1515052800,13.33513,49.24134,8.33205
82,1515056400,15.61267,39.74852,10.6271
83,1515060000,4.258,16.01143,34.52561
84,1515063600,9.93533,17.84527,47.39788
85,1515067200,6.7996,11.30756,51.78842
86,1515070800,2.17851,7.5516,56.42842
87,1515074400,2.9707,5.98396,61.91659
88,1515078000,2.01347,8.91403,61.41767
89,1515081600,1.55136,8.31152,59.82111
90,1515085200,1.78242,10.98278,57.62584
91,1515088800,2.64062,19.49989,49.69293
92,1515092400,2.80566,14.35554,54.78197
93,1515096000,1.65039,10.93309,57.67573
94,1515099600,1.51836,9.62277,56.5781
95,1515103200,1.74941,12.2436,52.83616
96,1515106800,1.78242,13.30236,48.14626
97,1515110400,1.62797,11.60884,29.23701
98,1515114000,NA,NA,36.6211
99,1515117600,1.35297,2.81186,58.92304
100,1515121200,0.83598,1.47202,62.01638
101,1515124800,1.38597,0.79663,67.30498
102,1515128400,1.91396,4.21856,64.06197
103,1515132000,2.04596,11.27018,54.23315
104,1515135600,3.49792,18.26249,47.79702
105,1515139200,2.70594,14.33859,56.5781
106,1515142800,3.46492,12.21771,60.91874
107,1515146400,2.87094,10.20672,63.11401
108,1515150000,2.80494,8.59517,66.15746
109,1515153600,3.79492,8.3366,63.16391
110,1515157200,3.82792,9.495,61.81681
111,1515160800,4.02591,12.41542,57.37638
112,1515164400,4.6859,18.90933,51.38928
113,1515168000,5.41188,28.37493,41.85981
114,1515171600,9.2398,44.31794,24.34754
115,1515175200,6.96285,42.92284,23.44948
116,1515178800,4.28991,42.53791,17.41248
117,1515182400,8.54681,51.37513,5.68775
118,1515186000,6.20386,48.77147,2.04559
119,1515189600,39.40113,52.17401,1.14753
120,1515193200,19.43657,46.41512,0.99785
121,1515196800,20.80619,44.05397,0.94796
122,1515200400,NA,NA,1.9957
123,1515204000,25.073,34.37472,0.44903
124,1515207600,26.78852,37.07869,0.74839
125,1515211200,30.54947,36.79734,0.44903
126,1515214800,27.31638,42.71085,0.6985
127,1515218400,15.37371,42.302,1.04774
128,1515222000,8.41265,37.77749,1.89592
129,1515225600,6.33423,30.29557,5.83742
130,1515229200,5.54245,23.25641,15.9656
131,1515232800,5.08058,20.08962,22.15227
132,1515236400,5.24554,18.93085,26.19356
133,1515240000,4.94862,20.59391,24.39743
134,1515243600,4.75067,20.19288,25.79442
135,1515247200,3.62899,18.03779,26.49292
136,1515250800,2.44132,16.99037,27.2912
137,1515254400,1.58356,11.9647,28.03959
138,1515258000,1.51758,10.90841,25.24561
139,1515261600,2.01244,10.40125,31.03314
140,1515265200,1.94646,8.84172,35.62325
141,1515268800,1.12169,7.18753,37.56905
142,1515272400,1.28664,5.87779,43.75572
143,1515276000,1.97945,5.0168,49.2439
144,1515279600,1.64954,4.11357,49.94239
145,1515283200,0.65965,4.41813,46.35013
146,1515286800,NA,NA,46.99874
147,1515290400,0.65965,3.21156,48.99444
148,1515294000,0.85754,3.26004,47.64734
149,1515297600,0.95649,1.95203,46.94884
150,1515301200,1.22035,2.95512,45.10282
151,1515304800,0.82456,3.51171,41.41078
152,1515308400,1.45122,9.48863,29.23701
153,1515312000,1.05543,7.98399,31.48217
154,1515315600,2.47367,10.48485,30.53421
155,1515319200,1.84701,5.86533,40.5626
156,1515322800,1.6821,4.71052,48.49551
157,1515326400,1.6821,4.15751,48.24605
158,1515330000,1.51719,5.16448,50.24175
159,1515333600,1.05543,4.26373,55.08132
160,1515337200,0.92351,6.27587,54.73207
161,1515340800,1.15438,8.18419,54.88175
162,1515344400,1.15438,15.02143,49.19401
163,1515348000,1.05543,16.07808,47.14841
164,1515351600,1.48421,11.59983,48.34583
165,1515355200,0.92351,10.54915,47.84691
166,1515358800,1.35228,7.67966,48.79487
167,1515362400,0.89052,8.63904,42.90755
168,1515366000,0.95649,8.38708,40.96174
169,1515369600,0.70344,5.81873,41.51056
170,1515373200,NA,NA,40.41293
171,1515376800,0.92327,6.11783,39.86411
172,1515380400,1.12111,6.5176,38.36733
173,1515384000,1.22003,7.16949,37.12002
174,1515387600,1.25301,9.93143,33.87701
175,1515391200,1.48382,17.66345,25.34539
176,1515394800,2.63791,22.92513,17.76173
177,1515398400,3.33036,23.67143,15.66625
178,1515402000,2.34114,18.80985,18.6598
179,1515405600,2.57196,12.68027,23.9484
180,1515409200,NA,NA,NA
181,1515412800,2.85773,12.56017,16.96345
182,1515416400,2.67088,14.63797,16.31485
183,1515420000,2.53899,16.64824,14.81807
184,1515423600,3.03359,19.35525,13.47098
185,1515427200,2.50601,18.80817,14.51872
186,1515430800,3.75902,25.82666,8.18237
187,1515434400,3.13251,26.23482,7.78323
188,1515438000,2.47304,21.169,10.32775
189,1515441600,2.1433,19.26388,11.12603
190,1515445200,2.24222,22.5776,8.53162
191,1515448800,2.07735,24.99,6.43613
192,1515452400,2.47304,25.03619,5.88732
193,1515456000,2.1546,22.10573,8.33205
194,1515459600,NA,NA,9.92861
195,1515463200,1.3851,19.54795,8.33205
196,1515466800,2.83615,25.56935,4.04129
197,1515470400,3.00105,25.6685,4.39054
198,1515474000,5.17763,25.59948,3.89162
199,1515477600,12.07014,28.15483,1.44688
200,1515481200,26.2509,29.49094,0.94796
201,1515484800,22.09561,26.76118,0.99785
202,1515488400,11.77333,23.43084,1.79613
203,1515492000,26.41579,26.47258,1.49678
204,1515495600,46.59865,26.80165,0.99785
205,1515499200,56.78901,26.31167,1.24731
206,1515502800,35.68276,24.78376,1.39699
207,1515506400,27.76791,21.58354,1.49678
208,1515510000,30.14237,26.1388,1.04774
209,1515513600,25.3275,27.58816,0.84817
210,1515517200,37.72743,27.02887,0.84817
211,1515520800,24.79985,30.30796,0.74839
212,1515524400,15.30203,28.88125,2.94366
213,1515528000,5.8372,27.20284,7.23441
214,1515531600,3.09998,18.42697,14.76818
215,1515535200,3.46274,14.70295,16.41463
216,1515538800,1.64893,11.90275,16.36474
217,1515542400,2.19888,10.9926,16.11528
218,1515546000,NA,NA,16.01549
219,1515549600,1.51723,7.84264,16.31485
220,1515553200,1.25336,7.19005,21.65335
221,1515556800,1.45126,4.41987,49.04433
222,1515560400,1.3853,4.47067,57.92519
223,1515564000,2.20988,12.36852,53.68433
224,1515567600,4.94748,26.69666,39.16561
225,1515571200,7.81702,37.5503,23.84862
226,1515574800,7.05841,37.55563,22.00259
227,1515578400,6.56366,32.12221,27.04174
228,1515582000,8.2458,32.56346,24.84647
229,1515585600,10.19181,33.50627,27.24131
230,1515589200,5.3103,28.30505,29.73593
231,1515592800,7.61912,34.02777,24.597
232,1515596400,8.2458,39.91334,11.37549
233,1515600000,18.04181,49.7618,1.74624
234,1515603600,51.2559,51.84405,1.09764
235,1515607200,116.6286,52.08932,0.99785
236,1515610800,86.67985,48.17182,0.6985
237,1515614400,67.51661,44.63157,1.09764
238,1515618000,94.89267,46.35213,1.3471
239,1515621600,75.06977,37.78235,0.94796
240,1515625200,93.07859,41.23003,0.94796
241,1515628800,72.26546,40.93492,1.09764
242,1515632400,NA,NA,0.89807
243,1515636000,83.65728,31.14545,1.04774
244,1515639600,79.66574,27.53834,1.24731
245,1515643200,77.5875,27.39846,0.89807
246,1515646800,28.83141,32.90588,0.59871
247,1515650400,22.72865,34.45117,0.6486
248,1515654000,27.11604,35.83848,0.6985
249,1515657600,27.70982,33.0632,0.59871
250,1515661200,41.76266,32.6842,0.74839
251,1515664800,43.0162,29.45171,0.6486
252,1515668400,31.27252,24.92923,0.84817
253,1515672000,21.5081,22.5632,1.49678
254,1515675600,21.04627,22.76732,1.84602
255,1515679200,14.9765,23.45561,1.74624
256,1515682800,24.74091,27.23287,1.74624
257,1515686400,17.58254,27.22148,0.84817
258,1515690000,18.07736,28.98282,0.39914
259,1515693600,15.83418,29.85186,0.54882
260,1515697200,10.52314,30.83842,0.99785
261,1515700800,7.02642,28.18623,2.14538
262,1515704400,4.6183,26.38492,1.84602
263,1515708000,5.54197,27.43831,2.04559
264,1515711600,2.73799,23.67352,4.59011
265,1515715200,2.06753,21.25255,6.53592
266,1515718800,NA,NA,5.38839
267,1515722400,1.74861,15.93865,8.23226
268,1515726000,1.22073,15.63793,5.9871
269,1515729600,2.54043,17.85307,2.29506
270,1515733200,10.6566,22.5649,0.84817
271,1515736800,20.22444,26.86744,0.74839
272,1515740400,24.77742,29.92788,0.6985
273,1515744000,34.14731,31.05219,0.84817
274,1515747600,15.50651,34.60611,5.43828
275,1515751200,16.29833,37.07559,5.53807
276,1515754800,12.27324,33.86172,11.9742
277,1515758400,7.72026,29.33793,15.91571
278,1515762000,5.47677,28.79156,15.41678
279,1515765600,6.99442,29.34074,14.56861
280,1515769200,3.82714,31.67417,12.87227
281,1515772800,20.65335,48.00859,3.04344
282,1515776400,4.15706,24.60847,31.33249
283,1515780000,2.6724,23.7564,32.6297
284,1515783600,3.43123,24.81312,30.33464
285,1515787200,2.04554,14.07047,40.81207
286,1515790800,2.14452,11.24432,42.80777
287,1515794400,1.58364,12.65937,39.51486
288,1515798000,2.50744,15.88525,35.274
289,1515801600,1.97984,18.99076,29.88561
