date,ws,wd,air_temp
1-1-2019 00:00:00,4.6,298.3,4.6
1-1-2019 01:00:00,3.5,277.9,3.5
1-1-2019 02:00:00,4.1,273.6,3.2
1-1-2019 03:00:00,4.7,298.6,3.3
1-1-2019 04:00:00,4.2,275.5,3
1-1-2019 05:00:00,5.2,297.3,3.1
1-1-2019 06:00:00,4.5,303.3,3.1
1-1-2019 07:00:00,4.5,310.6,3.6
1-1-2019 08:00:00,4.5,317.4,4
1-1-2019 09:00:00,5,325.2,3.8
1-1-2019 10:00:00,5.9,332.1,3.6
1-1-2019 11:00:00,5.8,334.8,3.4
1-1-2019 12:00:00,5.2,339.7,3.6
1-1-2019 13:00:00,5.2,339.3,3.5
1-1-2019 14:00:00,4.8,336.1,2.7
1-1-2019 15:00:00,5,336.1,2.1
1-1-2019 16:00:00,4.6,337.6,1.7
1-1-2019 17:00:00,4.6,335.6,1.4
1-1-2019 18:00:00,4.6,337.7,1.2
1-1-2019 19:00:00,4.9,339.2,1
1-1-2019 20:00:00,5.1,343.9,0.9
1-1-2019 21:00:00,5,347.5,0.8
1-1-2019 22:00:00,4.3,349.5,0.5
1-1-2019 23:00:00,3.3,329.1,0
1-2-2019 00:00:00,3.5,312.8,0.4
1-2-2019 01:00:00,4.1,308.8,-0.4
1-2-2019 02:00:00,3.9,311,-0.7
1-2-2019 03:00:00,3.9,304.9,-1
1-2-2019 04:00:00,4.3,302.6,-1.2
1-2-2019 05:00:00,4.5,302.3,-1.3
1-2-2019 06:00:00,4.3,304.9,-1.4
1-2-2019 07:00:00,4.5,303.5,-1.5
1-2-2019 08:00:00,4.5,305.5,-1.6
1-2-2019 09:00:00,4.3,307.3,-1.4
1-2-2019 10:00:00,4,303.7,-0.6
1-2-2019 11:00:00,3.5,301.5,0.3
1-2-2019 12:00:00,3.1,297.1,0.5
1-2-2019 13:00:00,2.5,292.5,0.2
1-2-2019 14:00:00,2.4,288.3,-0.7
1-2-2019 15:00:00,2.4,285.6,-1.4
1-2-2019 16:00:00,2.5,290.1,-1.9
1-2-2019 17:00:00,2.6,294.6,-2.3
1-2-2019 18:00:00,2.7,292.6,-2.6
1-2-2019 19:00:00,2.7,291.7,-2.7
1-2-2019 20:00:00,2.7,291.6,-2.9
1-2-2019 21:00:00,2.8,288.9,-3
1-2-2019 22:00:00,2.9,288.5,-3
1-2-2019 23:00:00,2.5,283.4,-3.2
1-3-2019 00:00:00,2.8,286.3,-1.8
1-3-2019 01:00:00,2.5,294.5,-2.6
1-3-2019 02:00:00,2.8,279.3,-2.7
1-3-2019 03:00:00,2.4,283.1,-2.9
1-3-2019 04:00:00,2.6,287.2,-3.1
1-3-2019 05:00:00,3,283.3,-3
1-3-2019 06:00:00,2.9,285.3,-3
1-3-2019 07:00:00,2.9,279.7,-3.1
1-3-2019 08:00:00,3.1,283.2,-3
1-3-2019 09:00:00,3,282.5,-2.5
1-3-2019 10:00:00,2.9,278.4,-1.3
1-3-2019 11:00:00,2.9,281.9,-0.3
1-3-2019 12:00:00,2.7,283.4,0.3
1-3-2019 13:00:00,2.4,287.1,0.6
1-3-2019 14:00:00,2.6,285,0.1
1-3-2019 15:00:00,2.7,285.3,-0.5
1-3-2019 16:00:00,2.8,276.8,-0.9
1-3-2019 17:00:00,2.8,269.1,-1
1-3-2019 18:00:00,2.7,270.4,-1.3
1-3-2019 19:00:00,2.7,271.2,-1.5
1-3-2019 20:00:00,2.7,276.7,-1.7
1-3-2019 21:00:00,2.7,277.8,-1.7
1-3-2019 22:00:00,2.9,287.9,-1.5
1-3-2019 23:00:00,2.7,292.4,-1.6
1-4-2019 00:00:00,4,287.3,-0.2
1-4-2019 01:00:00,4.3,292.8,-0.5
1-4-2019 02:00:00,3.9,283.3,-0.4
1-4-2019 03:00:00,4.1,284.2,-0.2
1-4-2019 04:00:00,4.4,290.7,0.2
1-4-2019 05:00:00,4.1,293.1,0.5
1-4-2019 06:00:00,3.4,289.9,0.3
1-4-2019 07:00:00,3.5,280.9,0.3
1-4-2019 08:00:00,3.8,279.9,0.5
1-4-2019 09:00:00,4.3,281.4,0.9
1-4-2019 10:00:00,4.6,278.9,2.2
1-4-2019 11:00:00,4,275.5,3.2
1-4-2019 12:00:00,3.1,275.9,3.5
1-4-2019 13:00:00,2.7,299.6,3.1
1-4-2019 14:00:00,2.6,310.9,1.8
1-4-2019 15:00:00,2.5,309.2,0.6
1-4-2019 16:00:00,2.8,288.8,0.6
1-4-2019 17:00:00,2.8,284.2,0.3
1-4-2019 18:00:00,3,285.8,0.3
1-4-2019 19:00:00,2.8,280.2,-0.1
1-4-2019 20:00:00,2.8,275.5,-0.3
1-4-2019 21:00:00,2.8,280.1,-0.6
1-4-2019 22:00:00,2.8,281,-0.9
1-4-2019 23:00:00,2.7,284.3,-1.3
1-5-2019 00:00:00,3.5,282.1,0.5
1-5-2019 01:00:00,4,283.5,0
1-5-2019 02:00:00,4.2,289.9,-0.2
1-5-2019 03:00:00,4.2,281.2,-0.3
1-5-2019 04:00:00,4.2,284,-0.2
1-5-2019 05:00:00,4.1,282.5,-0.3
1-5-2019 06:00:00,3.8,283.5,-0.5
1-5-2019 07:00:00,3.6,283.8,-0.7
1-5-2019 08:00:00,3.5,279.1,-0.8
1-5-2019 09:00:00,3.4,274.9,-0.7
1-5-2019 10:00:00,2.9,277.9,-0.8
1-5-2019 11:00:00,2.5,273.9,-1
1-5-2019 12:00:00,2.3,277.9,-1.1
1-5-2019 13:00:00,2.3,282.6,-1.5
1-5-2019 14:00:00,2.2,284.2,-1.8
1-5-2019 15:00:00,2.5,275.2,-1.7
1-5-2019 16:00:00,2.7,268.8,-1.8
1-5-2019 17:00:00,3,275.3,-2.3
1-5-2019 18:00:00,2.7,285.3,-2.6
1-5-2019 19:00:00,2.7,283.9,-2.5
1-5-2019 20:00:00,2.7,274.7,-2.3
1-5-2019 21:00:00,2.6,275.4,-2.3
1-5-2019 22:00:00,2,267.8,-1.5
1-5-2019 23:00:00,2.2,233.9,0.1
1-6-2019 00:00:00,3.9,273.6,3
1-6-2019 01:00:00,3,275.8,3.6
1-6-2019 02:00:00,2.9,225.9,4.2
1-6-2019 03:00:00,3.1,224,4.7
1-6-2019 04:00:00,3.6,222.8,5.2
1-6-2019 05:00:00,3.3,237.8,5.1
1-6-2019 06:00:00,2.8,253.6,5.5
1-6-2019 07:00:00,3.5,290.6,4.9
1-6-2019 08:00:00,4.5,322.5,5.1
1-6-2019 09:00:00,4.4,318.3,5.3
1-6-2019 10:00:00,3.7,319,5.4
1-6-2019 11:00:00,3.5,314.6,5.3
1-6-2019 12:00:00,3.7,311.3,5.2
1-6-2019 13:00:00,3.9,314.8,5.2
1-6-2019 14:00:00,3.7,317.4,4.2
1-6-2019 15:00:00,3.5,311,4.1
1-6-2019 16:00:00,3.4,300.9,3.9
1-6-2019 17:00:00,3.6,289.4,3.6
1-6-2019 18:00:00,3.5,284.9,3.4
1-6-2019 19:00:00,2.3,290.6,2.1
1-6-2019 20:00:00,2.8,236.5,1.4
1-6-2019 21:00:00,4.5,213.3,2
1-6-2019 22:00:00,5.6,214.7,2.5
1-6-2019 23:00:00,6.8,207.4,3.6
1-7-2019 00:00:00,5.4,201.3,6.1
1-7-2019 01:00:00,5.8,208.7,6.2
1-7-2019 02:00:00,5.8,215.5,6.5
1-7-2019 03:00:00,8,228.3,7.4
1-7-2019 04:00:00,9,230.5,8
1-7-2019 05:00:00,9.2,224.7,8.4
1-7-2019 06:00:00,9.2,231.8,9.1
1-7-2019 07:00:00,9.1,234.4,9.3
1-7-2019 08:00:00,7.9,236.1,9.5
1-7-2019 09:00:00,7,243.8,8.8
1-7-2019 10:00:00,7.7,253.8,8.4
1-7-2019 11:00:00,8.8,256,7.8
1-7-2019 12:00:00,9.4,255.3,7.5
1-7-2019 13:00:00,8.8,266.6,7.1
1-7-2019 14:00:00,11.1,282.4,6.7
1-7-2019 15:00:00,14.9,299.6,6.5
1-7-2019 16:00:00,17.8,305.7,6.5
1-7-2019 17:00:00,17.8,312.4,6.5
1-7-2019 18:00:00,17.3,317.8,6.3
1-7-2019 19:00:00,16.5,321.5,6.1
1-7-2019 20:00:00,16.4,327.7,5.9
1-7-2019 21:00:00,16.2,328,5.7
1-7-2019 22:00:00,16.1,331,5.5
1-7-2019 23:00:00,15.7,334.9,5.3
1-8-2019 00:00:00,13,329.6,5.2
1-8-2019 01:00:00,13.2,333.4,5
1-8-2019 02:00:00,13.9,337,4.8
1-8-2019 03:00:00,13.5,338.8,4.6
1-8-2019 04:00:00,12.6,339.7,4.5
1-8-2019 05:00:00,10.3,339.3,4.2
1-8-2019 06:00:00,7.9,338.2,3.9
1-8-2019 07:00:00,6.2,334.1,3.5
1-8-2019 08:00:00,5.2,329.2,3.3
1-8-2019 09:00:00,5.4,326.2,3.3
1-8-2019 10:00:00,6.7,337.2,3.9
1-8-2019 11:00:00,7.3,339.4,4.3
1-8-2019 12:00:00,7.9,340.4,4.3
1-8-2019 13:00:00,8,343.2,4
1-8-2019 14:00:00,7.4,343.2,3.3
1-8-2019 15:00:00,6.8,341.5,2.7
1-8-2019 16:00:00,6.2,340.7,2.4
1-8-2019 17:00:00,5.9,340.3,2.3
1-8-2019 18:00:00,6.1,340.5,2.4
1-8-2019 19:00:00,6.2,342.9,2.7
1-8-2019 20:00:00,6.5,348.7,3
1-8-2019 21:00:00,6.1,350.4,2.7
1-8-2019 22:00:00,5.5,350.6,2.2
1-8-2019 23:00:00,4.9,349.8,2.4
1-9-2019 00:00:00,4.3,335.9,2.1
1-9-2019 01:00:00,4.3,334.5,1.5
1-9-2019 02:00:00,4,333.6,1
1-9-2019 03:00:00,3.8,326.6,0.6
1-9-2019 04:00:00,4,317,0.2
1-9-2019 05:00:00,4.1,313.7,0
1-9-2019 06:00:00,4.7,316.7,-0.2
1-9-2019 07:00:00,4.8,316.2,-0.2
1-9-2019 08:00:00,4.8,316,-0.2
1-9-2019 09:00:00,4.7,317.6,0.1
1-9-2019 10:00:00,4.5,321.1,1
1-9-2019 11:00:00,4.1,319.1,1.1
1-9-2019 12:00:00,3.3,313.8,0.7
1-9-2019 13:00:00,3.5,307.9,0.7
1-9-2019 14:00:00,2.7,294.6,1.1
1-9-2019 15:00:00,3.2,262.7,1.4
1-9-2019 16:00:00,1.9,255.2,1.1
1-9-2019 17:00:00,2.1,218.8,1
1-9-2019 18:00:00,3,216.3,1.5
1-9-2019 19:00:00,3.5,221.2,1.5
1-9-2019 20:00:00,4.2,211.6,1.7
1-9-2019 21:00:00,4.2,214.3,1.8
1-9-2019 22:00:00,4.1,224.8,2.1
1-9-2019 23:00:00,3.2,242.1,3.1
1-10-2019 00:00:00,4.1,288.6,5.9
1-10-2019 01:00:00,5.6,301.7,6.7
1-10-2019 02:00:00,5.6,309.5,7.3
1-10-2019 03:00:00,5.8,313.2,7.8
1-10-2019 04:00:00,6,316.5,7.3
1-10-2019 05:00:00,5.7,322.1,6.9
1-10-2019 06:00:00,5.4,323.9,6.6
1-10-2019 07:00:00,4.8,321.3,6.1
1-10-2019 08:00:00,3.7,307.1,5.3
1-10-2019 09:00:00,3.5,295.3,4.9
1-10-2019 10:00:00,4.1,306.9,5.3
1-10-2019 11:00:00,4.5,311.5,6.2
1-10-2019 12:00:00,4.2,313.5,6.5
1-10-2019 13:00:00,2.9,307.5,6
1-10-2019 14:00:00,1.8,251.4,4.8
1-10-2019 15:00:00,3.2,234.8,3.9
1-10-2019 16:00:00,3.1,250.7,3.4
1-10-2019 17:00:00,3,263.4,3.1
1-10-2019 18:00:00,3.5,305.7,3.2
1-10-2019 19:00:00,6,327.8,5.3
1-10-2019 20:00:00,6.5,330.9,5.6
1-10-2019 21:00:00,5.4,327.9,6.2
1-10-2019 22:00:00,4.7,329.1,6.2
1-10-2019 23:00:00,5,329.7,6.3
1-11-2019 00:00:00,4.5,296.1,5.5
1-11-2019 01:00:00,4.4,314.6,6
1-11-2019 02:00:00,4.1,313.2,4.7
1-11-2019 03:00:00,4.3,315.5,4.2
1-11-2019 04:00:00,3.8,309.8,3.7
1-11-2019 05:00:00,3.7,305,3.3
1-11-2019 06:00:00,3.6,297.7,3
1-11-2019 07:00:00,3.6,281.3,3
1-11-2019 08:00:00,3.8,283.6,4.3
1-11-2019 09:00:00,4.4,299.6,5
1-11-2019 10:00:00,4.3,309.4,5.4
1-11-2019 11:00:00,4.7,320,5.9
1-11-2019 12:00:00,4.4,328,6.2
1-11-2019 13:00:00,2.7,301.3,6.1
1-11-2019 14:00:00,3.1,245,6
1-11-2019 15:00:00,3.1,245.5,6.1
1-11-2019 16:00:00,3.5,237.2,6.2
1-11-2019 17:00:00,4,229,5.1
1-11-2019 18:00:00,4.3,225.1,4.2
1-11-2019 19:00:00,4.5,218.6,3.8
1-11-2019 20:00:00,4.7,220.6,3.4
