date,no
1-1-2019 00:00:00,1.69279
1-1-2019 01:00:00,2.99865
1-1-2019 02:00:00,2.06762
1-1-2019 03:00:00,1.9588
1-1-2019 04:00:00,1.26959
1-1-2019 05:00:00,0.90685
1-1-2019 06:00:00,1.41469
1-1-2019 07:00:00,2.03135
1-1-2019 08:00:00,1.41469
1-1-2019 09:00:00,0.79803
1-1-2019 10:00:00,2.24899
1-1-2019 11:00:00,2.46663
1-1-2019 12:00:00,3.37349
1-1-2019 13:00:00,4.02642
1-1-2019 14:00:00,5.84012
1-1-2019 15:00:00,9.32243
1-1-2019 16:00:00,4.64308
1-1-2019 17:00:00,5.25973
1-1-2019 18:00:00,6.02149
1-1-2019 19:00:00,4.24406
1-1-2019 20:00:00,3.26466
1-1-2019 21:00:00,2.32154
1-1-2019 22:00:00,3.80877
1-1-2019 23:00:00,4.09897
1-2-2019 00:00:00,1.45267
1-2-2019 01:00:00,1.40425
1-2-2019 02:00:00,2.32428
1-2-2019 03:00:00,0.94424
1-2-2019 04:00:00,3.37746
1-2-2019 05:00:00,4.06748
1-2-2019 06:00:00,8.78866
1-2-2019 07:00:00,8.13496
1-2-2019 08:00:00,15.03515
1-2-2019 09:00:00,25.42175
1-2-2019 10:00:00,21.89902
1-2-2019 11:00:00,22.40746
1-2-2019 12:00:00,26.22072
1-2-2019 13:00:00,32.03141
1-2-2019 14:00:00,48.84608
1-2-2019 15:00:00,50.00821
1-2-2019 16:00:00,62.42855
1-2-2019 17:00:00,40.13005
1-2-2019 18:00:00,42.01852
1-2-2019 19:00:00,28.18183
1-2-2019 20:00:00,12.71088
1-2-2019 21:00:00,10.13238
1-2-2019 22:00:00,11.14925
1-2-2019 23:00:00,6.68229
1-3-2019 00:00:00,1.79374
1-3-2019 01:00:00,2.23005
1-3-2019 02:00:00,2.36337
1-3-2019 03:00:00,2.21793
1-3-2019 04:00:00,12.61676
1-3-2019 05:00:00,23.59734
1-3-2019 06:00:00,58.57523
1-3-2019 07:00:00,80.42731
1-3-2019 08:00:00,86.82659
1-3-2019 09:00:00,102.57027
1-3-2019 10:00:00,97.18906
1-3-2019 11:00:00,103.73378
1-3-2019 12:00:00,94.2803
1-3-2019 13:00:00,156.41876
1-3-2019 14:00:00,168.05381
1-3-2019 15:00:00,170.41718
1-3-2019 16:00:00,115.80515
1-3-2019 17:00:00,100.06146
1-3-2019 18:00:00,62.2839
1-3-2019 19:00:00,35.74143
1-3-2019 20:00:00,21.05218
1-3-2019 21:00:00,10.36247
1-3-2019 22:00:00,10.07159
1-3-2019 23:00:00,9.16261
1-4-2019 00:00:00,4.8051
1-4-2019 01:00:00,1.74731
1-4-2019 02:00:00,3.85864
1-4-2019 03:00:00,6.84363
1-4-2019 04:00:00,6.98924
1-4-2019 05:00:00,29.15824
1-4-2019 06:00:00,55.58631
1-4-2019 07:00:00,71.02089
1-4-2019 08:00:00,63.74043
1-4-2019 09:00:00,73.02302
1-4-2019 10:00:00,46.41294
1-4-2019 11:00:00,48.19665
1-4-2019 12:00:00,87.98436
1-4-2019 13:00:00,125.73355
1-4-2019 14:00:00,161.3714
1-4-2019 15:00:00,145.5728
1-4-2019 16:00:00,122.42094
1-4-2019 17:00:00,89.40405
1-4-2019 18:00:00,52.60133
1-4-2019 19:00:00,41.28021
1-4-2019 20:00:00,21.07693
1-4-2019 21:00:00,16.27183
1-4-2019 22:00:00,11.64874
1-4-2019 23:00:00,7.57168
1-5-2019 00:00:00,3.3489
1-5-2019 01:00:00,2.81502
1-5-2019 02:00:00,1.74725
1-5-2019 03:00:00,2.00206
1-5-2019 04:00:00,2.32967
1-5-2019 05:00:00,17.2177
1-5-2019 06:00:00,16.96289
1-5-2019 07:00:00,35.89144
1-5-2019 08:00:00,38.1119
1-5-2019 09:00:00,44.66409
1-5-2019 10:00:00,25.58994
1-5-2019 11:00:00,36.65586
1-5-2019 12:00:00,30.9773
1-5-2019 13:00:00,39.93196
1-5-2019 14:00:00,48.70461
1-5-2019 15:00:00,42.98965
1-5-2019 16:00:00,53.47315
1-5-2019 17:00:00,38.47591
1-5-2019 18:00:00,37.42028
1-5-2019 19:00:00,34.72661
1-5-2019 20:00:00,38.0755
1-5-2019 21:00:00,21.91344
1-5-2019 22:00:00,12.70397
1-5-2019 23:00:00,4.87774
1-6-2019 00:00:00,5.43571
1-6-2019 01:00:00,2.62079
1-6-2019 02:00:00,2.43879
1-6-2019 03:00:00,1.52879
1-6-2019 04:00:00,2.65719
1-6-2019 05:00:00,5.20517
1-6-2019 06:00:00,10.55594
1-6-2019 07:00:00,9.68235
1-6-2019 08:00:00,41.38658
1-6-2019 09:00:00,27.37266
1-6-2019 10:00:00,18.1271
1-6-2019 11:00:00,30.06624
1-6-2019 12:00:00,31.74063
1-6-2019 13:00:00,36.54541
1-6-2019 14:00:00,62.57127
1-6-2019 15:00:00,95.76789
1-6-2019 16:00:00,108.36222
1-6-2019 17:00:00,106.21464
1-6-2019 18:00:00,46.81015
1-6-2019 19:00:00,70.79762
1-6-2019 20:00:00,60.16888
1-6-2019 21:00:00,40.44019
1-6-2019 22:00:00,6.04237
1-6-2019 23:00:00,3.27598
1-7-2019 00:00:00,0.9221
1-7-2019 01:00:00,0.29119
1-7-2019 02:00:00,1.12836
1-7-2019 03:00:00,2.22031
1-7-2019 04:00:00,10.0096
1-7-2019 05:00:00,7.42531
1-7-2019 06:00:00,21.65714
1-7-2019 07:00:00,23.40427
1-7-2019 08:00:00,31.84874
1-7-2019 09:00:00,54.48864
1-7-2019 10:00:00,65.29901
1-7-2019 11:00:00,68.42929
1-7-2019 12:00:00,44.66103
1-7-2019 13:00:00,21.25676
1-7-2019 14:00:00,13.35827
1-7-2019 15:00:00,21.14756
1-7-2019 16:00:00,17.10732
1-7-2019 17:00:00,9.97321
1-7-2019 18:00:00,6.77013
1-7-2019 19:00:00,4.29503
1-7-2019 20:00:00,3.16668
1-7-2019 21:00:00,2.72989
1-7-2019 22:00:00,2.18391
1-7-2019 23:00:00,1.20115
1-8-2019 00:00:00,1.69854
1-8-2019 01:00:00,0.53383
1-8-2019 02:00:00,0.54596
1-8-2019 03:00:00,0.80074
1-8-2019 04:00:00,2.22024
1-8-2019 05:00:00,5.67798
1-8-2019 06:00:00,18.85381
1-8-2019 07:00:00,27.95314
1-8-2019 08:00:00,25.51452
1-8-2019 09:00:00,24.4226
1-8-2019 10:00:00,22.71192
1-8-2019 11:00:00,24.56819
1-8-2019 12:00:00,24.27701
1-8-2019 13:00:00,30.93772
1-8-2019 14:00:00,54.66876
1-8-2019 15:00:00,52.19374
1-8-2019 16:00:00,57.03459
1-8-2019 17:00:00,33.74031
1-8-2019 18:00:00,25.91489
1-8-2019 19:00:00,13.03024
1-8-2019 20:00:00,9.4269
1-8-2019 21:00:00,12.26589
1-8-2019 22:00:00,7.57064
1-8-2019 23:00:00,2.32943
1-9-2019 00:00:00,6.45424
1-9-2019 01:00:00,2.7661
1-9-2019 02:00:00,2.43854
1-9-2019 03:00:00,3.13006
1-9-2019 04:00:00,8.91704
1-9-2019 05:00:00,12.9206
1-9-2019 06:00:00,36.83282
1-9-2019 07:00:00,101.07187
1-9-2019 08:00:00,80.90845
1-9-2019 09:00:00,89.42513
1-9-2019 10:00:00,84.51166
1-9-2019 11:00:00,96.41317
1-9-2019 12:00:00,96.1584
1-9-2019 13:00:00,128.36892
1-9-2019 14:00:00,189.76908
1-9-2019 15:00:00,189.33232
1-9-2019 16:00:00,168.40459
1-9-2019 17:00:00,225.03686
1-9-2019 18:00:00,204.69146
1-9-2019 19:00:00,69.3345
1-9-2019 20:00:00,46.51417
1-9-2019 21:00:00,26.27796
1-9-2019 22:00:00,13.64852
1-9-2019 23:00:00,8.40749
1-10-2019 00:00:00,2.66895
1-10-2019 01:00:00,1.45579
1-10-2019 02:00:00,3.93064
1-10-2019 03:00:00,4.03983
1-10-2019 04:00:00,3.67588
1-10-2019 05:00:00,41.52649
1-10-2019 06:00:00,37.55945
1-10-2019 07:00:00,33.62881
1-10-2019 08:00:00,40.87138
1-10-2019 09:00:00,47.09489
1-10-2019 10:00:00,41.4537
1-10-2019 11:00:00,63.07222
1-10-2019 12:00:00,21.90968
1-10-2019 13:00:00,36.06726
1-10-2019 14:00:00,76.46551
1-10-2019 15:00:00,57.03068
1-10-2019 16:00:00,99.6854
1-10-2019 17:00:00,87.60232
1-10-2019 18:00:00,55.4657
1-10-2019 19:00:00,35.59413
1-10-2019 20:00:00,28.60633
1-10-2019 21:00:00,11.53716
1-10-2019 22:00:00,5.42283
1-10-2019 23:00:00,4.87691
1-11-2019 00:00:00,1.45574
1-11-2019 01:00:00,1.11607
1-11-2019 02:00:00,0.80066
1-11-2019 03:00:00,1.41935
1-11-2019 04:00:00,6.36888
1-11-2019 05:00:00,19.90728
1-11-2019 06:00:00,57.82938
1-11-2019 07:00:00,126.28568
1-11-2019 08:00:00,187.2813
1-11-2019 09:00:00,199.14561
1-11-2019 10:00:00,151.72479
1-11-2019 11:00:00,199.10921
1-11-2019 12:00:00,74.64321
1-11-2019 13:00:00,134.6562
1-11-2019 14:00:00,165.44516
1-11-2019 15:00:00,252.31661
1-11-2019 16:00:00,208.60793
1-11-2019 17:00:00,140.40639
1-11-2019 18:00:00,117.73319
1-11-2019 19:00:00,65.87236
1-11-2019 20:00:00,46.07426
1-11-2019 21:00:00,18.0876
1-11-2019 22:00:00,9.49872
1-11-2019 23:00:00,3.63936
1-12-2019 00:00:00,2.62025
1-12-2019 01:00:00,3.68776
1-12-2019 02:00:00,0.69145
1-12-2019 03:00:00,1.71044
1-12-2019 04:00:00,1.60126
1-12-2019 05:00:00,3.7848
1-12-2019 06:00:00,10.84491
1-12-2019 07:00:00,17.75945
1-12-2019 08:00:00,20.88919
1-12-2019 09:00:00,18.85122
1-12-2019 10:00:00,14.26579
1-12-2019 11:00:00,12.40978
1-12-2019 12:00:00,11.79111
1-12-2019 13:00:00,11.31801
1-12-2019 14:00:00,13.7563
1-12-2019 15:00:00,26.12969
1-12-2019 16:00:00,25.14709
1-12-2019 17:00:00,24.56482
1-12-2019 18:00:00,32.27999
1-12-2019 19:00:00,24.74678
1-12-2019 20:00:00,11.06327
1-12-2019 21:00:00,9.31643
1-12-2019 22:00:00,6.55062
1-12-2019 23:00:00,3.67563
1-13-2019 00:00:00,3.05685
1-13-2019 01:00:00,1.01895
1-13-2019 02:00:00,0.61865
1-13-2019 03:00:00,1.78316
1-13-2019 04:00:00,0.69143
1-13-2019 05:00:00,0.76421
1-13-2019 06:00:00,1.49203
1-13-2019 07:00:00,1.56482
1-13-2019 08:00:00,3.31159
1-13-2019 09:00:00,2.91129
1-13-2019 10:00:00,2.8385
1-13-2019 11:00:00,6.07731
1-13-2019 12:00:00,6.36844
1-13-2019 13:00:00,6.514
1-13-2019 14:00:00,7.38739
1-13-2019 15:00:00,4.94919
1-13-2019 16:00:00,7.02348
1-13-2019 17:00:00,4.84001
1-13-2019 18:00:00,3.63911
1-13-2019 19:00:00,6.9143
1-13-2019 20:00:00,7.46017
1-13-2019 21:00:00,8.5519
1-13-2019 22:00:00,3.63911
1-13-2019 23:00:00,5.27671
1-14-2019 00:00:00,6.88981
1-14-2019 01:00:00,6.16201
1-14-2019 02:00:00,1.38281
1-14-2019 03:00:00,7.27797
1-14-2019 04:00:00,7.89659
1-14-2019 05:00:00,28.9663
1-14-2019 06:00:00,87.48114
1-14-2019 07:00:00,187.98984
1-14-2019 08:00:00,151.85474
1-14-2019 09:00:00,108.69641
1-14-2019 10:00:00,104.0749
1-14-2019 11:00:00,122.16064
1-14-2019 12:00:00,74.16247
1-14-2019 13:00:00,97.27
1-14-2019 14:00:00,133.4051
1-14-2019 15:00:00,120.59588
1-14-2019 16:00:00,42.35776
1-14-2019 17:00:00,105.34855
1-14-2019 18:00:00,78.71119
1-14-2019 19:00:00,40.4291
1-14-2019 20:00:00,13.13673
1-14-2019 21:00:00,9.35219
1-14-2019 22:00:00,8.87912
1-14-2019 23:00:00,4.94902
1-15-2019 00:00:00,4.07882
1-15-2019 01:00:00,2.6221
1-15-2019 02:00:00,1.16538
1-15-2019 03:00:00,2.73135
1-15-2019 04:00:00,3.82389
1-15-2019 05:00:00,14.45796
1-15-2019 06:00:00,37.18282
1-15-2019 07:00:00,291.45356
1-15-2019 08:00:00,272.98961
1-15-2019 09:00:00,245.45758
1-15-2019 10:00:00,304.34554
1-15-2019 11:00:00,410.54054
1-15-2019 12:00:00,311.95691
1-15-2019 13:00:00,164.1361
1-15-2019 14:00:00,359.40962
1-15-2019 15:00:00,256.56508
1-15-2019 16:00:00,29.82637
1-15-2019 17:00:00,39.69566
1-15-2019 18:00:00,23.12546
1-15-2019 19:00:00,11.65377
1-15-2019 20:00:00,3.49613
1-15-2019 21:00:00,6.2639
1-15-2019 22:00:00,3.20479
1-15-2019 23:00:00,3.24121
1-16-2019 00:00:00,1.55504
1-16-2019 01:00:00,0.24298
1-16-2019 02:00:00,1.74942
1-16-2019 03:00:00,3.02504
1-16-2019 04:00:00,5.64917
1-16-2019 05:00:00,34.07724
1-16-2019 06:00:00,93.26596
1-16-2019 07:00:00,162.29515
1-16-2019 08:00:00,295.90711
1-16-2019 09:00:00,243.38806
1-16-2019 10:00:00,284.39009
1-16-2019 11:00:00,213.93949
1-16-2019 12:00:00,247.28781
1-16-2019 13:00:00,166.45003
1-16-2019 14:00:00,100.30008
1-16-2019 15:00:00,79.70795
1-16-2019 16:00:00,81.71249
1-16-2019 17:00:00,40.23666
1-16-2019 18:00:00,21.17527
