"","date","wind_speed","wind_direction"
"1",2018-01-01 00:00:00,5.5,263.3
"2",2018-01-01 01:00:00,5,256.4
"3",2018-01-01 02:00:00,4.8,251
"4",2018-01-01 03:00:00,4.8,246.8
"5",2018-01-01 04:00:00,5.3,248.4
"6",2018-01-01 05:00:00,5.3,248
"7",2018-01-01 06:00:00,4.4,245.8
"8",2018-01-01 07:00:00,3,239.5
"9",2018-01-01 08:00:00,2.6,232.9
"10",2018-01-01 09:00:00,1.6,211.2
"11",2018-01-01 10:00:00,1.6,233.8
"12",2018-01-01 11:00:00,1.1,227.3
"13",2018-01-01 12:00:00,2.2,280.1
"14",2018-01-01 13:00:00,3.6,291.1
"15",2018-01-01 14:00:00,4.1,292.1
"16",2018-01-01 15:00:00,4.4,275.3
"17",2018-01-01 16:00:00,5,268.8
"18",2018-01-01 17:00:00,6.4,284.6
"19",2018-01-01 18:00:00,6.5,285
"20",2018-01-01 19:00:00,6.3,283.5
"21",2018-01-01 20:00:00,7.3,290.4
"22",2018-01-01 21:00:00,7.1,293.9
"23",2018-01-01 22:00:00,6.3,292.5
"24",2018-01-01 23:00:00,5.5,292
"25",2018-01-02 00:00:00,4.5,282.8
"26",2018-01-02 01:00:00,4.3,280.1
"27",2018-01-02 02:00:00,4.3,279.7
"28",2018-01-02 03:00:00,4.3,279.3
"29",2018-01-02 04:00:00,4,277.4
"30",2018-01-02 05:00:00,3,260.7
"31",2018-01-02 06:00:00,2.8,237.5
"32",2018-01-02 07:00:00,2.4,218.4
"33",2018-01-02 08:00:00,2.1,190.6
"34",2018-01-02 09:00:00,2.5,188
"35",2018-01-02 10:00:00,2.8,198.6
"36",2018-01-02 11:00:00,4,211.2
"37",2018-01-02 12:00:00,5.6,216.7
"38",2018-01-02 13:00:00,5.9,231.9
"39",2018-01-02 14:00:00,5.7,243.8
"40",2018-01-02 15:00:00,5,243.5
"41",2018-01-02 16:00:00,4.6,240.7
"42",2018-01-02 17:00:00,5.1,234.8
"43",2018-01-02 18:00:00,6.5,231.2
"44",2018-01-02 19:00:00,8,230.5
"45",2018-01-02 20:00:00,8.7,231
"46",2018-01-02 21:00:00,9.5,240.1
"47",2018-01-02 22:00:00,9,245.3
"48",2018-01-02 23:00:00,9.3,252.4
"49",2018-01-03 00:00:00,7.9,268.9
"50",2018-01-03 01:00:00,8.1,266.7
"51",2018-01-03 02:00:00,9.1,269.3
