"","date","no","no2","o3"
"1",2018-01-01 00:00:00,2.53827,14.63439,59.81291
"2",2018-01-01 01:00:00,1.8902,17.29712,53.63033
"3",2018-01-01 02:00:00,1.78219,17.54618,54.45707
"4",2018-01-01 03:00:00,0.89109,17.2852,57.53039
"5",2018-01-01 04:00:00,0.9316,12.90445,60.8733
"6",2018-01-01 05:00:00,0.52656,10.08311,62.27516
"7",2018-01-01 06:00:00,0.48605,11.08405,60.8733
"8",2018-01-01 07:00:00,0.85059,18.91203,53.6483
"9",2018-01-01 08:00:00,1.17462,25.55033,45.88413
"10",2018-01-01 09:00:00,3.11883,32.77126,41.46286
"11",2018-01-01 10:00:00,5.02253,42.8708,32.29682
"12",2018-01-01 11:00:00,2.99732,33.33311,39.52181
"13",2018-01-01 12:00:00,6.56169,35.12813,38.2817
"14",2018-01-01 13:00:00,33.33501,67.30541,25.07182
"15",2018-01-01 14:00:00,42.16494,78.48903,23.61604
"16",2018-01-01 15:00:00,35.76526,72.90483,22.21417
"17",2018-01-01 16:00:00,49.05066,82.76465,13.42556
"18",2018-01-01 17:00:00,14.94607,51.31355,25.07182
"19",2018-01-01 18:00:00,13.24489,54.4227,21.56716
"20",2018-01-01 19:00:00,35.64375,69.89911,23.02294
"21",2018-01-01 20:00:00,31.71484,65.90912,26.85111
"22",2018-01-01 21:00:00,40.62578,75.09085,24.58656
"23",2018-01-01 22:00:00,37.42594,75.86633,22.80727
"24",2018-01-01 23:00:00,33.53753,70.3121,24.37089
"25",2018-01-02 00:00:00,8.75925,41.63404,41.20891
"26",2018-01-02 01:00:00,4.97439,26.79859,48.32878
"27",2018-01-02 02:00:00,2.06816,16.82012,48.16696
"28",2018-01-02 03:00:00,4.54183,23.5555,42.50343
"29",2018-01-02 04:00:00,3.32527,21.53543,41.80223
"30",2018-01-02 05:00:00,2.43313,24.78342,35.86901
"31",2018-01-02 06:00:00,2.27092,32.051,26.96918
"32",2018-01-02 07:00:00,6.24502,47.51542,14.50942
"33",2018-01-02 08:00:00,13.94992,60.51813,7.55137
"34",2018-01-02 09:00:00,18.24844,62.26206,8.14469
"35",2018-01-02 10:00:00,17.31574,60.99743,10.51798
"36",2018-01-02 11:00:00,15.572,59.347,12.40582
"37",2018-01-02 12:00:00,9.89471,46.18077,23.13956
"38",2018-01-02 13:00:00,3.73079,30.94059,39.91439
"39",2018-01-02 14:00:00,2.35202,27.53985,41.37073
"40",2018-01-02 15:00:00,4.62294,43.10905,26.37586
"41",2018-01-02 16:00:00,3.8119,46.67136,23.84076
"42",2018-01-02 17:00:00,3.48748,41.52863,28.5334
"43",2018-01-02 18:00:00,3.20362,42.7159,26.86131
"44",2018-01-02 19:00:00,2.59533,30.36287,37.16353
"45",2018-01-02 20:00:00,0.97325,18.06027,50.80994
"46",2018-01-02 21:00:00,0.64883,13.04288,54.42381
"47",2018-01-02 22:00:00,0.72994,10.59978,52.10446
"48",2018-01-02 23:00:00,1.66264,10.2977,55.98802
"49",2018-01-03 00:00:00,1.89466,10.56479,66.47729
"50",2018-01-03 01:00:00,1.9894,6.73832,68.41981
"51",2018-01-03 02:00:00,2.3954,9.0022,72.95235
"52",2018-01-03 03:00:00,4.26299,20.13139,68.9594
"53",2018-01-03 04:00:00,2.6796,11.1391,73.70778
"54",2018-01-03 05:00:00,6.57719,18.90468,65.02041
"55",2018-01-03 06:00:00,18.18876,49.3537,45.10959
