"","date","no","no2","o3"
"1",2018-01-01 00:00:00,1.7231,8.44623,NA
"2",2018-01-01 01:00:00,1.21082,12.8801,NA
"3",2018-01-01 02:00:00,1.60667,8.74993,NA
"4",2018-01-01 03:00:00,1.50189,8.15946,NA
"5",2018-01-01 04:00:00,1.22247,5.26141,NA
"6",2018-01-01 05:00:00,2.20044,6.44452,NA
"7",2018-01-01 06:00:00,6.81088,17.99283,NA
"8",2018-01-01 07:00:00,7.0903,35.26985,NA
"9",2018-01-01 08:00:00,3.84204,27.53472,NA
"10",2018-01-01 09:00:00,3.59754,27.15846,NA
"11",2018-01-01 10:00:00,6.35682,37.03834,NA
"12",2018-01-01 11:00:00,5.41378,36.2309,NA
"13",2018-01-01 12:00:00,8.69697,26.20702,NA
"14",2018-01-01 13:00:00,20.22308,42.65715,NA
"15",2018-01-01 14:00:00,20.39772,40.83344,NA
"16",2018-01-01 15:00:00,27.45309,46.80871,NA
"17",2018-01-01 16:00:00,23.57613,49.58778,NA
"18",2018-01-01 17:00:00,7.92857,40.31558,NA
"19",2018-01-01 18:00:00,3.6674,31.12897,NA
"20",2018-01-01 19:00:00,2.6545,24.84874,NA
"21",2018-01-01 20:00:00,2.20044,16.47761,NA
"22",2018-01-01 21:00:00,1.74638,15.02771,NA
"23",2018-01-01 22:00:00,1.6416,16.10048,NA
"24",2018-01-01 23:00:00,2.09566,16.47732,NA
"25",2018-01-02 00:00:00,4.42493,15.17713,NA
"26",2018-01-02 01:00:00,1.02472,10.30396,NA
"27",2018-01-02 02:00:00,0.94321,8.21129,NA
"28",2018-01-02 03:00:00,0.80347,10.03513,NA
"29",2018-01-02 04:00:00,1.15281,11.37734,NA
"30",2018-01-02 05:00:00,1.04801,15.29374,NA
"31",2018-01-02 06:00:00,10.96917,33.18535,NA
"32",2018-01-02 07:00:00,11.73771,57.06285,NA
"33",2018-01-02 08:00:00,13.79879,60.2336,NA
"34",2018-01-02 09:00:00,12.71585,55.18748,NA
"35",2018-01-02 10:00:00,12.33158,56.95705,NA
"36",2018-01-02 11:00:00,10.8993,49.12009,NA
"37",2018-01-02 12:00:00,7.86007,36.7722,NA
"38",2018-01-02 13:00:00,4.68111,25.1751,NA
"39",2018-01-02 14:00:00,4.33177,23.99385,NA
"40",2018-01-02 15:00:00,7.09153,31.78053,NA
"41",2018-01-02 16:00:00,7.0566,32.04871,NA
"42",2018-01-02 17:00:00,3.6331,25.06513,NA
"43",2018-01-02 18:00:00,3.2139,37.40424,NA
"44",2018-01-02 19:00:00,2.13095,24.95401,NA
"45",2018-01-02 20:00:00,1.67682,17.4951,NA
"46",2018-01-02 21:00:00,1.11788,11.37725,NA
"47",2018-01-02 22:00:00,1.53708,11.37832,NA
"48",2018-01-02 23:00:00,1.22268,5.42205,NA
"49",2018-01-03 00:00:00,0.79197,3.29251,NA
"50",2018-01-03 01:00:00,3.26104,5.22963,NA
"51",2018-01-03 02:00:00,0.80361,2.63082,NA
"52",2018-01-03 03:00:00,0.90843,2.79202,NA
"53",2018-01-03 04:00:00,1.08313,1.88032,NA
"54",2018-01-03 05:00:00,1.43253,5.79777,NA
"55",2018-01-03 06:00:00,13.52166,24.81839,NA
"56",2018-01-03 07:00:00,12.82287,30.66496,NA
"57",2018-01-03 08:00:00,12.50841,33.3469,NA
"58",2018-01-03 09:00:00,14.53491,34.74648,NA
"59",2018-01-03 10:00:00,16.2819,31.0484,NA
"60",2018-01-03 11:00:00,12.40359,28.41059,NA
"61",2018-01-03 12:00:00,12.89275,28.4117,NA
"62",2018-01-03 13:00:00,13.34696,28.14447,NA
"63",2018-01-03 14:00:00,14.18552,33.2434,NA
"64",2018-01-03 15:00:00,12.40359,38.44368,NA
"65",2018-01-03 16:00:00,12.36865,38.98013,NA
"66",2018-01-03 17:00:00,4.68192,25.28116,NA
"67",2018-01-03 18:00:00,3.17951,21.20013,NA
"68",2018-01-03 19:00:00,3.31927,19.96643,NA
"69",2018-01-03 20:00:00,1.78193,16.47549,NA
"70",2018-01-03 21:00:00,1.78193,16.42184,NA
"71",2018-01-03 22:00:00,2.27108,14.16953,NA
"72",2018-01-03 23:00:00,1.04819,11.10853,NA
"73",2018-01-04 00:00:00,1.07167,8.51508,NA
"74",2018-01-04 01:00:00,3.35479,9.37811,NA
"75",2018-01-04 02:00:00,0.87364,4.77686,NA
"76",2018-01-04 03:00:00,0.59408,4.23977,NA
"77",2018-01-04 04:00:00,0.80375,12.01986,NA
"78",2018-01-04 05:00:00,1.88707,28.43983,NA
"79",2018-01-04 06:00:00,11.9165,50.67227,NA
"80",2018-01-04 07:00:00,25.26577,63.79038,NA
"81",2018-01-04 08:00:00,32.04525,69.22294,NA
"82",2018-01-04 09:00:00,35.71455,64.50885,NA
"83",2018-01-04 10:00:00,12.61541,36.34835,NA
"84",2018-01-04 11:00:00,7.65312,22.97881,NA
"85",2018-01-04 12:00:00,9.15579,22.12338,NA
"86",2018-01-04 13:00:00,9.74986,19.33462,NA
"87",2018-01-04 14:00:00,10.02943,18.85231,NA
"88",2018-01-04 15:00:00,9.64503,24.5924,NA
"89",2018-01-04 16:00:00,13.41917,33.93558,NA
"90",2018-01-04 17:00:00,7.68806,33.65581,NA
"91",2018-01-04 18:00:00,3.59941,32.52089,NA
"92",2018-01-04 19:00:00,2.79566,24.04211,NA
"93",2018-01-04 20:00:00,3.07523,21.7356,NA
"94",2018-01-04 21:00:00,1.50267,20.49843,NA
"95",2018-01-04 22:00:00,1.64245,16.85031,NA
"96",2018-01-04 23:00:00,1.15321,18.137,NA
"97",2018-01-05 00:00:00,1.53788,19.96156,NA
"98",2018-01-05 01:00:00,0.83884,19.38804,NA
"99",2018-01-05 02:00:00,2.69129,11.21815,NA
"100",2018-01-05 03:00:00,1.22331,7.56719,NA
"101",2018-01-05 04:00:00,1.0136,8.90815,NA
"102",2018-01-05 05:00:00,1.11846,21.57042,NA
