"","date","no","no2","o3"
"1",2018-01-01 00:00:00,1.62964,3.36825,67.40477
"2",2018-01-01 01:00:00,NA,NA,64.36133
"3",2018-01-01 02:00:00,0.991,3.99344,66.75617
"4",2018-01-01 03:00:00,1.22223,2.77907,68.25294
"5",2018-01-01 04:00:00,1.15616,1.16074,69.89939
"6",2018-01-01 05:00:00,1.02403,1.46449,69.60004
"7",2018-01-01 06:00:00,1.65166,3.03102,65.65853
"8",2018-01-01 07:00:00,1.22223,4.04351,64.66068
"9",2018-01-01 08:00:00,1.71773,4.64935,62.11616
"10",2018-01-01 09:00:00,1.91593,8.99858,52.5368
"11",2018-01-01 10:00:00,2.31232,12.33582,46.44992
"12",2018-01-01 11:00:00,1.58559,15.22034,40.16346
"13",2018-01-01 12:00:00,2.70872,17.89847,42.5583
"14",2018-01-01 13:00:00,2.11412,18.35498,39.914
"15",2018-01-01 14:00:00,1.71773,17.49603,45.15271
"16",2018-01-01 15:00:00,0.92493,13.401,51.83831
"17",2018-01-01 16:00:00,1.35436,16.33355,44.85336
"18",2018-01-01 17:00:00,2.11412,21.49078,39.2654
"19",2018-01-01 18:00:00,2.34536,20.93392,37.9183
"20",2018-01-01 19:00:00,1.15616,11.93374,51.08992
"21",2018-01-01 20:00:00,1.0901,11.0235,54.5325
"22",2018-01-01 21:00:00,1.42043,6.26848,61.81681
"23",2018-01-01 22:00:00,1.22223,6.01603,61.36778
"24",2018-01-01 23:00:00,0.8919,5.30867,59.62154
"25",2018-01-02 00:00:00,1.49712,5.38454,57.07702
"26",2018-01-02 01:00:00,NA,NA,57.72562
"27",2018-01-02 02:00:00,1.12284,4.18998,52.68648
"28",2018-01-02 03:00:00,0.95772,3.9379,49.14411
"29",2018-01-02 04:00:00,1.15587,5.40252,43.95529
"30",2018-01-02 05:00:00,1.68426,15.50613,34.07658
"31",2018-01-02 06:00:00,2.4108,19.54585,34.52561
"32",2018-01-02 07:00:00,6.1426,32.11458,24.39743
"33",2018-01-02 08:00:00,9.41204,32.05314,23.00044
"34",2018-01-02 09:00:00,5.05278,24.13497,32.28045
"35",2018-01-02 10:00:00,3.69877,17.571,41.2611
"36",2018-01-02 11:00:00,2.97222,15.14814,44.15486
"37",2018-01-02 12:00:00,2.84013,9.7422,51.2396
"38",2018-01-02 13:00:00,2.17963,5.95489,57.67573
"39",2018-01-02 14:00:00,2.57593,7.46938,57.32648
"40",2018-01-02 15:00:00,3.3355,16.46062,45.05293
"41",2018-01-02 16:00:00,3.83087,19.28848,41.56045
"42",2018-01-02 17:00:00,3.17037,18.12856,42.05938
"43",2018-01-02 18:00:00,2.675,15.75545,42.85766
"44",2018-01-02 19:00:00,2.44383,7.67192,53.38498
"45",2018-01-02 20:00:00,1.65124,3.37979,63.66283
"46",2018-01-02 21:00:00,1.55216,2.218,61.81681
"47",2018-01-02 22:00:00,1.42006,2.26897,58.87315
"48",2018-01-02 23:00:00,1.71729,1.91429,58.07487
"49",2018-01-03 00:00:00,1.10054,3.96587,65.80821
"50",2018-01-03 01:00:00,NA,NA,67.65423
"51",2018-01-03 02:00:00,1.4197,2.36603,70.44821
"52",2018-01-03 03:00:00,1.18859,2.21563,76.18585
"53",2018-01-03 04:00:00,1.12255,2.56926,75.03832
"54",2018-01-03 05:00:00,1.48573,3.98097,73.94069
"55",2018-01-03 06:00:00,1.35367,6.75776,70.84735
"56",2018-01-03 07:00:00,1.84891,11.75269,63.96219
"57",2018-01-03 08:00:00,2.21209,13.87106,60.66928
"58",2018-01-03 09:00:00,1.68383,11.75343,61.36778
"59",2018-01-03 10:00:00,2.27812,10.69076,60.76907
"60",2018-01-03 11:00:00,NA,NA,NA
"61",2018-01-03 12:00:00,NA,NA,NA
"62",2018-01-03 13:00:00,1.0235,5.95161,55.92949
"63",2018-01-03 14:00:00,0.42921,7.67047,56.42842
"64",2018-01-03 15:00:00,2.04701,13.26609,52.93594
"65",2018-01-03 16:00:00,2.27812,17.65649,49.29379
"66",2018-01-03 17:00:00,2.74035,16.74585,49.64304
"67",2018-01-03 18:00:00,1.98097,12.71115,54.5325
"68",2018-01-03 19:00:00,1.71684,10.4409,56.62799
"69",2018-01-03 20:00:00,2.27812,10.08505,55.72992
"70",2018-01-03 21:00:00,1.78288,7.21012,56.87745
"71",2018-01-03 22:00:00,1.81589,6.25092,57.77552
"72",2018-01-03 23:00:00,7.42865,10.16293,53.28519
"73",2018-01-04 00:00:00,0.92422,6.04589,58.12476
"74",2018-01-04 01:00:00,NA,NA,66.75617
"75",2018-01-04 02:00:00,0.92422,1.70928,68.5024
"76",2018-01-04 03:00:00,0.66016,1.55949,67.60434
"77",2018-01-04 04:00:00,0.62715,1.66052,63.26369
"78",2018-01-04 05:00:00,0.92422,9.52526,50.29164
"79",2018-01-04 06:00:00,5.24823,32.04122,24.34754
"80",2018-01-04 07:00:00,8.48299,41.15008,15.81592
"81",2018-01-04 08:00:00,13.33513,49.24134,8.33205
"82",2018-01-04 09:00:00,15.61267,39.74852,10.6271
"83",2018-01-04 10:00:00,4.258,16.01143,34.52561
"84",2018-01-04 11:00:00,9.93533,17.84527,47.39788
"85",2018-01-04 12:00:00,6.7996,11.30756,51.78842
"86",2018-01-04 13:00:00,2.17851,7.5516,56.42842
"87",2018-01-04 14:00:00,2.9707,5.98396,61.91659
"88",2018-01-04 15:00:00,2.01347,8.91403,61.41767
"89",2018-01-04 16:00:00,1.55136,8.31152,59.82111
"90",2018-01-04 17:00:00,1.78242,10.98278,57.62584
"91",2018-01-04 18:00:00,2.64062,19.49989,49.69293
"92",2018-01-04 19:00:00,2.80566,14.35554,54.78197
"93",2018-01-04 20:00:00,1.65039,10.93309,57.67573
"94",2018-01-04 21:00:00,1.51836,9.62277,56.5781
"95",2018-01-04 22:00:00,1.74941,12.2436,52.83616
"96",2018-01-04 23:00:00,1.78242,13.30236,48.14626
"97",2018-01-05 00:00:00,1.62797,11.60884,29.23701
"98",2018-01-05 01:00:00,NA,NA,36.6211
"99",2018-01-05 02:00:00,1.35297,2.81186,58.92304
"100",2018-01-05 03:00:00,0.83598,1.47202,62.01638
