"","date","no","no2","o3"
"1",2018-01-01 00:00:00,70.66562,79.0596,24.48059
"2",2018-01-01 01:00:00,139.49697,97.05587,13.9699
"3",2018-01-01 02:00:00,112.7738,101.07355,18.21076
"4",2018-01-01 03:00:00,84.57176,81.56557,24.84647
"5",2018-01-01 04:00:00,75.66403,59.85638,29.03744
"6",2018-01-01 05:00:00,54.34053,51.55781,35.62325
"7",2018-01-01 06:00:00,76.2831,79.5382,25.79442
"8",2018-01-01 07:00:00,75.69843,72.98608,24.79657
"9",2018-01-01 08:00:00,90.62488,86.85994,17.26281
"10",2018-01-01 09:00:00,142.48914,103.41757,5.68775
"11",2018-01-01 10:00:00,124.32977,101.68146,7.08474
"12",2018-01-01 11:00:00,141.62932,108.91574,9.3299
"13",2018-01-01 12:00:00,149.95236,106.81776,10.37764
"14",2018-01-01 13:00:00,61.56301,71.72479,23.39958
"15",2018-01-01 14:00:00,50.59173,72.47106,26.44303
"16",2018-01-01 15:00:00,50.28219,68.71229,23.39958
"17",2018-01-01 16:00:00,95.81818,83.29113,12.47313
"18",2018-01-01 17:00:00,210.00209,111.78907,6.38624
"19",2018-01-01 18:00:00,182.38472,124.87655,7.78323
"20",2018-01-01 19:00:00,53.58389,65.41812,24.99614
"21",2018-01-01 20:00:00,38.24473,58.44677,32.23056
"22",2018-01-01 21:00:00,20.842,39.90305,40.06368
"23",2018-01-01 22:00:00,20.8764,48.42425,40.31314
"24",2018-01-01 23:00:00,22.97435,46.54711,35.67314
"25",2018-01-02 00:00:00,31.34347,59.18682,30.8003
"26",2018-01-02 01:00:00,29.41606,53.91447,27.40761
"27",2018-01-02 02:00:00,31.21727,50.38353,25.74453
"28",2018-01-02 03:00:00,19.37743,41.70828,31.9312
"29",2018-01-02 04:00:00,36.07024,53.35224,21.10453
"30",2018-01-02 05:00:00,95.99226,71.20543,10.17807
"31",2018-01-02 06:00:00,179.86932,94.98684,5.68775
"32",2018-01-02 07:00:00,201.72485,94.95861,6.03699
"33",2018-01-02 08:00:00,232.73562,111.53176,3.74194
"34",2018-01-02 09:00:00,255.55486,110.77708,3.44258
"35",2018-01-02 10:00:00,265.6738,124.34469,3.3428
"36",2018-01-02 11:00:00,215.4577,116.2387,4.09119
"37",2018-01-02 12:00:00,184.99762,115.88469,5.18882
"38",2018-01-02 13:00:00,152.5413,103.99635,8.78108
"39",2018-01-02 14:00:00,154.8129,100.6206,9.92861
"40",2018-01-02 15:00:00,218.14232,108.15159,6.18667
"41",2018-01-02 16:00:00,223.33946,120.25116,5.23871
"42",2018-01-02 17:00:00,173.74288,114.14649,6.78538
"43",2018-01-02 18:00:00,185.82366,119.71571,7.03484
"44",2018-01-02 19:00:00,111.27392,79.64722,15.86582
"45",2018-01-02 20:00:00,76.23623,74.88279,23.99829
"46",2018-01-02 21:00:00,38.41067,46.32946,35.77292
"47",2018-01-02 22:00:00,39.33996,42.3826,36.37163
"48",2018-01-02 23:00:00,31.32053,38.04465,36.6211
"49",2018-01-03 00:00:00,32.23919,56.23737,38.25092
"50",2018-01-03 01:00:00,17.68104,34.64378,48.96117
"51",2018-01-03 02:00:00,15.53406,24.37776,63.51315
"52",2018-01-03 03:00:00,11.12528,23.83044,66.40692
"53",2018-01-03 04:00:00,12.50302,25.85518,62.21595
"54",2018-01-03 05:00:00,20.21838,37.23673,53.48476
