"date","no"
2018-01-01 00:00:00,70.66562
2018-01-01 01:00:00,139.49697
2018-01-01 02:00:00,112.7738
2018-01-01 03:00:00,84.57176
2018-01-01 04:00:00,75.66403
2018-01-01 05:00:00,54.34053
2018-01-01 06:00:00,76.2831
2018-01-01 07:00:00,75.69843
2018-01-01 08:00:00,90.62488
2018-01-01 09:00:00,142.48914
2018-01-01 10:00:00,124.32977
2018-01-01 11:00:00,141.62932
2018-01-01 12:00:00,149.95236
2018-01-01 13:00:00,61.56301
2018-01-01 14:00:00,50.59173
2018-01-01 15:00:00,50.28219
2018-01-01 16:00:00,95.81818
2018-01-01 17:00:00,210.00209
2018-01-01 18:00:00,182.38472
2018-01-01 19:00:00,53.58389
2018-01-01 20:00:00,38.24473
2018-01-01 21:00:00,20.842
2018-01-01 22:00:00,20.8764
2018-01-01 23:00:00,22.97435
2018-01-02 00:00:00,31.34347
2018-01-02 01:00:00,29.41606
2018-01-02 02:00:00,31.21727
2018-01-02 03:00:00,19.37743
2018-01-02 04:00:00,36.07024
2018-01-02 05:00:00,95.99226
2018-01-02 06:00:00,179.86932
2018-01-02 07:00:00,201.72485
2018-01-02 08:00:00,232.73562
2018-01-02 09:00:00,255.55486
2018-01-02 10:00:00,265.6738
2018-01-02 11:00:00,215.4577
2018-01-02 12:00:00,184.99762
2018-01-02 13:00:00,152.5413
2018-01-02 14:00:00,154.8129
2018-01-02 15:00:00,218.14232
2018-01-02 16:00:00,223.33946
2018-01-02 17:00:00,173.74288
2018-01-02 18:00:00,185.82366
2018-01-02 19:00:00,111.27392
2018-01-02 20:00:00,76.23623
2018-01-02 21:00:00,38.41067
2018-01-02 22:00:00,39.33996
2018-01-02 23:00:00,31.32053
2018-01-03 00:00:00,32.23919
2018-01-03 01:00:00,17.68104
2018-01-03 02:00:00,15.53406
2018-01-03 03:00:00,11.12528
2018-01-03 04:00:00,12.50302
2018-01-03 05:00:00,20.21838
2018-01-03 06:00:00,48.56545
2018-01-03 07:00:00,88.10668
2018-01-03 08:00:00,86.3845
2018-01-03 09:00:00,109.04838
2018-01-03 10:00:00,80.83909
2018-01-03 11:00:00,81.8724
2018-01-03 12:00:00,98.64642
2018-01-03 13:00:00,64.09951
2018-01-03 14:00:00,64.37506
2018-01-03 15:00:00,106.18956
2018-01-03 16:00:00,151.37954
2018-01-03 17:00:00,142.94087
2018-01-03 18:00:00,148.07296
2018-01-03 19:00:00,118.52037
2018-01-03 20:00:00,111.39054
2018-01-03 21:00:00,98.37087
2018-01-03 22:00:00,160.54154
2018-01-03 23:00:00,93.82432
2018-01-04 00:00:00,70.40868
2018-01-04 01:00:00,45.45312
2018-01-04 02:00:00,31.15998
2018-01-04 03:00:00,34.60688
2018-01-04 04:00:00,43.84457
2018-01-04 05:00:00,81.48472
2018-01-04 06:00:00,119.26275
2018-01-04 07:00:00,165.89931
2018-01-04 08:00:00,274.85582
2018-01-04 09:00:00,390.05123
2018-01-04 10:00:00,361.37302
2018-01-04 11:00:00,208.08936
2018-01-04 12:00:00,209.98516
2018-01-04 13:00:00,123.67478
2018-01-04 14:00:00,122.12367
2018-01-04 15:00:00,109.05992
2018-01-04 16:00:00,81.65707
2018-01-04 17:00:00,97.44387
2018-01-04 18:00:00,170.38028
2018-01-04 19:00:00,203.12583
2018-01-04 20:00:00,140.56459
2018-01-04 21:00:00,112.95492
2018-01-04 22:00:00,120.74491
2018-01-04 23:00:00,106.37134
2018-01-05 00:00:00,108.63443
2018-01-05 01:00:00,58.77849
2018-01-05 02:00:00,35.73622
2018-01-05 03:00:00,42.98005
2018-01-05 04:00:00,43.35949
2018-01-05 05:00:00,77.43998
2018-01-05 06:00:00,171.09233
2018-01-05 07:00:00,249.98107
2018-01-05 08:00:00,252.67164
2018-01-05 09:00:00,195.51438
2018-01-05 10:00:00,260.43288
2018-01-05 11:00:00,253.60299
2018-01-05 12:00:00,213.41699
2018-01-05 13:00:00,229.73285
2018-01-05 14:00:00,201.5854
2018-01-05 15:00:00,284.47549
2018-01-05 16:00:00,214.62429
2018-01-05 17:00:00,251.56782
2018-01-05 18:00:00,214.21036
2018-01-05 19:00:00,264.26176
2018-01-05 20:00:00,217.69429
2018-01-05 21:00:00,156.81164
2018-01-05 22:00:00,127.56037
2018-01-05 23:00:00,159.36423
2018-01-06 00:00:00,128.32176
2018-01-06 01:00:00,111.24594
2018-01-06 02:00:00,86.02345
2018-01-06 03:00:00,78.77428
2018-01-06 04:00:00,54.29971
2018-01-06 05:00:00,22.2653
2018-01-06 06:00:00,17.12184
2018-01-06 07:00:00,26.40768
2018-01-06 08:00:00,38.04087
2018-01-06 09:00:00,34.34724
2018-01-06 10:00:00,35.86612
2018-01-06 11:00:00,30.65362
2018-01-06 12:00:00,29.30735
2018-01-06 13:00:00,22.05818
2018-01-06 14:00:00,23.02473
2018-01-06 15:00:00,21.9201
2018-01-06 16:00:00,16.43145
2018-01-06 17:00:00,16.8802
2018-01-06 18:00:00,13.18658
2018-01-06 19:00:00,10.45951
2018-01-06 20:00:00,9.07872
2018-01-06 21:00:00,7.73244
2018-01-06 22:00:00,7.28369
2018-01-06 23:00:00,7.38725
2018-01-07 00:00:00,6.77087
2018-01-07 01:00:00,3.96119
2018-01-07 02:00:00,2.79817
2018-01-07 03:00:00,2.79817
2018-01-07 04:00:00,2.38362
2018-01-07 05:00:00,3.45453
2018-01-07 06:00:00,3.90362
2018-01-07 07:00:00,7.87632
2018-01-07 08:00:00,7.87632
2018-01-07 09:00:00,9.0854
2018-01-07 10:00:00,12.12539
2018-01-07 11:00:00,16.06355
2018-01-07 12:00:00,17.41081
2018-01-07 13:00:00,25.8744
2018-01-07 14:00:00,12.26357
2018-01-07 15:00:00,14.26719
2018-01-07 16:00:00,9.8454
2018-01-07 17:00:00,11.46903
2018-01-07 18:00:00,9.32722
2018-01-07 19:00:00,10.81267
2018-01-07 20:00:00,8.63632
2018-01-07 21:00:00,5.1127
2018-01-07 22:00:00,8.32541
2018-01-07 23:00:00,5.76906
2018-01-08 00:00:00,4.42505
2018-01-08 01:00:00,5.48522
2018-01-08 02:00:00,11.51204
2018-01-08 03:00:00,11.61575
2018-01-08 04:00:00,14.3814
2018-01-08 05:00:00,25.09831
2018-01-08 06:00:00,72.87499
2018-01-08 07:00:00,64.40518
2018-01-08 08:00:00,130.81545
2018-01-08 09:00:00,230.2753
2018-01-08 10:00:00,202.34219
2018-01-08 11:00:00,214.06165
2018-01-08 12:00:00,196.6726
2018-01-08 13:00:00,240.71565
2018-01-08 14:00:00,178.73042
2018-01-08 15:00:00,148.4465
2018-01-08 16:00:00,193.31924
2018-01-08 17:00:00,250.04973
2018-01-08 18:00:00,130.98831
2018-01-08 19:00:00,161.6525
2018-01-08 20:00:00,101.53409
2018-01-08 21:00:00,86.28842
2018-01-08 22:00:00,86.25385
2018-01-08 23:00:00,75.60608
2018-01-09 00:00:00,59.32078
2018-01-09 01:00:00,49.72613
2018-01-09 02:00:00,44.49059
2018-01-09 03:00:00,34.80368
2018-01-09 04:00:00,35.35721
2018-01-09 05:00:00,39.43955
2018-01-09 06:00:00,142.95109
2018-01-09 07:00:00,293.92847
2018-01-09 08:00:00,263.10334
2018-01-09 09:00:00,371.14696
2018-01-09 10:00:00,293.44412
2018-01-09 11:00:00,245.63231
2018-01-09 12:00:00,297.28429
2018-01-09 13:00:00,345.9264
2018-01-09 14:00:00,384.36267
2018-01-09 15:00:00,424.18278
2018-01-09 16:00:00,387.6839
2018-01-09 17:00:00,274.1049
2018-01-09 18:00:00,216.15643
2018-01-09 19:00:00,188.16819
2018-01-09 20:00:00,95.24306
2018-01-09 21:00:00,55.76891
2018-01-09 22:00:00,53.27799
2018-01-09 23:00:00,35.18423
2018-01-10 00:00:00,23.5888
2018-01-10 01:00:00,25.1583
2018-01-10 02:00:00,24.09658
2018-01-10 03:00:00,23.85423
2018-01-10 04:00:00,25.61993
2018-01-10 05:00:00,64.98459
2018-01-10 06:00:00,206.06729
2018-01-10 07:00:00,287.77407
2018-01-10 08:00:00,379.90193
2018-01-10 09:00:00,325.68464
2018-01-10 10:00:00,284.51965
2018-01-10 11:00:00,327.10412
2018-01-10 12:00:00,NA
2018-01-10 13:00:00,408.67242
2018-01-10 14:00:00,411.96146
2018-01-10 15:00:00,364.04528
2018-01-10 16:00:00,318.58722
2018-01-10 17:00:00,326.86177
2018-01-10 18:00:00,330.32392
2018-01-10 19:00:00,205.47872
2018-01-10 20:00:00,229.05597
2018-01-10 21:00:00,230.51008
2018-01-10 22:00:00,157.87413
2018-01-10 23:00:00,115.77436
2018-01-11 00:00:00,96.48289
2018-01-11 01:00:00,69.39916
2018-01-11 02:00:00,37.50055
2018-01-11 03:00:00,32.88243
2018-01-11 04:00:00,26.77123
2018-01-11 05:00:00,35.00051
2018-01-11 06:00:00,56.14665
2018-01-11 07:00:00,70.69548
2018-01-11 08:00:00,146.66881
2018-01-11 09:00:00,119.41147
2018-01-11 10:00:00,114.02944
2018-01-11 11:00:00,103.64735
2018-01-11 12:00:00,110.1405
2018-01-11 13:00:00,119.3073
2018-01-11 14:00:00,110.66134
2018-01-11 15:00:00,106.73767
2018-01-11 16:00:00,109.44605
2018-01-11 17:00:00,76.39001
2018-01-11 18:00:00,98.43894
2018-01-11 19:00:00,89.65409
2018-01-11 20:00:00,47.46597
2018-01-11 21:00:00,45.62567
2018-01-11 22:00:00,47.3618
2018-01-11 23:00:00,38.36862
2018-01-12 00:00:00,30.5522
2018-01-12 01:00:00,14.44033
2018-01-12 02:00:00,16.40208
2018-01-12 03:00:00,22.46144
2018-01-12 04:00:00,16.5762
2018-01-12 05:00:00,26.98855
2018-01-12 06:00:00,72.08556
2018-01-12 07:00:00,93.88534
2018-01-12 08:00:00,202.53603
2018-01-12 09:00:00,223.63934
2018-01-12 10:00:00,305.19701
2018-01-12 11:00:00,286.28761
2018-01-12 12:00:00,229.90765
2018-01-12 13:00:00,269.78106
2018-01-12 14:00:00,315.15666
2018-01-12 15:00:00,272.53215
2018-01-12 16:00:00,233.59899
2018-01-12 17:00:00,253.65758
2018-01-12 18:00:00,193.69075
2018-01-12 19:00:00,207.20244
2018-01-12 20:00:00,107.46668
2018-01-12 21:00:00,67.90668
2018-01-12 22:00:00,80.5826
2018-01-12 23:00:00,82.01038
2018-01-13 00:00:00,73.94819
2018-01-13 01:00:00,42.09645
2018-01-13 02:00:00,17.56735
2018-01-13 03:00:00,15.05274
2018-01-13 04:00:00,15.57662
2018-01-13 05:00:00,23.57448
2018-01-13 06:00:00,104.60082
2018-01-13 07:00:00,90.98002
2018-01-13 08:00:00,93.66925
2018-01-13 09:00:00,118.15178
2018-01-13 10:00:00,127.12755
2018-01-13 11:00:00,151.0862
2018-01-13 12:00:00,137.50032
2018-01-13 13:00:00,111.06198
2018-01-13 14:00:00,115.98642
2018-01-13 15:00:00,106.94081
2018-01-13 16:00:00,110.99213
2018-01-13 17:00:00,100.65428
2018-01-13 18:00:00,69.78045
2018-01-13 19:00:00,36.35708
2018-01-13 20:00:00,64.08765
2018-01-13 21:00:00,39.53527
2018-01-13 22:00:00,60.73484
2018-01-13 23:00:00,54.06413
2018-01-14 00:00:00,51.27859
2018-01-14 01:00:00,43.05907
2018-01-14 02:00:00,36.11218
2018-01-14 03:00:00,38.31884
2018-01-14 04:00:00,18.77413
2018-01-14 05:00:00,8.40633
2018-01-14 06:00:00,28.75664
2018-01-14 07:00:00,20.31529
2018-01-14 08:00:00,44.93882
2018-01-14 09:00:00,30.61304
2018-01-14 10:00:00,43.53777
2018-01-14 11:00:00,38.35387
2018-01-14 12:00:00,87.88114
2018-01-14 13:00:00,156.49778
2018-01-14 14:00:00,203.18792
2018-01-14 15:00:00,239.89554
2018-01-14 16:00:00,283.57341
2018-01-14 17:00:00,236.84825
2018-01-14 18:00:00,254.74672
2018-01-14 19:00:00,196.32275
2018-01-14 20:00:00,122.10189
2018-01-14 21:00:00,101.75158
2018-01-14 22:00:00,84.3785
2018-01-14 23:00:00,113.45038
2018-01-15 00:00:00,82.90107
2018-01-15 01:00:00,23.27787
2018-01-15 02:00:00,24.44879
2018-01-15 03:00:00,21.28731
2018-01-15 04:00:00,25.11621
2018-01-15 05:00:00,35.5491
2018-01-15 06:00:00,158.70636
2018-01-15 07:00:00,206.05833
2018-01-15 08:00:00,237.1111
2018-01-15 09:00:00,273.36275
2018-01-15 10:00:00,283.12822
2018-01-15 11:00:00,301.81609
2018-01-15 12:00:00,274.10043
2018-01-15 13:00:00,325.94873
2018-01-15 14:00:00,323.03314
2018-01-15 15:00:00,203.35351
2018-01-15 16:00:00,167.06673
2018-01-15 17:00:00,191.93705
2018-01-15 18:00:00,162.46501
2018-01-15 19:00:00,245.96325
2018-01-15 20:00:00,161.16529
2018-01-15 21:00:00,114.72665
